Gene ID,Chromosome,Gene Name,Description
NPIL_100251,BMAW01094231.1,AVEN_158310_1,uncharacterized protein
NPIL_100261,BMAW01094231.1,AVEN_1449_1,uncharacterized protein
NPIL_100271,BMAW01094231.1,NCL1_38110,uncharacterized protein
NPIL_100281,BMAW01117932.1,Unknown,hypothetical protein
NPIL_100291,BMAW01117932.1,pol_161,RNA-directed DNA polymerase from mobile element jockey
NPIL_100301,BMAW01000827.1,Unknown,hypothetical protein
NPIL_100302,BMAW01000827.1,Unknown,hypothetical protein
NPIL_10031,BMAW01082406.1,Unknown,hypothetical protein
NPIL_100311,BMAW01000827.1,Unknown,hypothetical protein
NPIL_100321,BMAW01000827.1,AVEN_184515_1,uncharacterized protein
NPIL_100331,BMAW01000827.1,AVEN_184515_1,uncharacterized protein
NPIL_100341,BMAW01000827.1,Unknown,hypothetical protein
NPIL_100351,BMAW01000827.1,Nmt1,glycylpeptide N-tetradecanoyltransferase 1
NPIL_100361,BMAW01000827.1,TMEM19,transmembrane protein 19
NPIL_100371,BMAW01000827.1,FTZ-F1,nuclear hormone receptor FTZ-F1
NPIL_100381,BMAW01000827.1,Unknown,hypothetical protein
NPIL_100391,BMAW01000827.1,AVEN_91475_1,uncharacterized protein
NPIL_100401,BMAW01000827.1,Unknown,hypothetical protein
NPIL_10041,BMAW01082406.1,Unknown,hypothetical protein
NPIL_100411,BMAW01000827.1,pol_3786,retrovirus-related Pol polyprotein from transposon 17.6
NPIL_100421,BMAW01000827.1,AVEN_215452_1,integrase catalytic domain-containing protein
NPIL_100431,BMAW01000827.1,PRY1,protein PRY1
NPIL_100432,BMAW01000827.1,PRY1,protein PRY1
NPIL_100441,BMAW01119413.1,Unknown,hypothetical protein
NPIL_100451,BMAW01043937.1,Unknown,hypothetical protein
NPIL_100461,BMAW01043937.1,AVEN_218542_1,integrase catalytic domain-containing protein
NPIL_100471,BMAW01043937.1,AVEN_139257_1,DUF1758 domain-containing protein
NPIL_100481,BMAW01043937.1,NCL1_32900,uncharacterized protein
NPIL_100491,BMAW01043937.1,NCL1_32900,uncharacterized protein
NPIL_100501,BMAW01043937.1,NCL1_32900,uncharacterized protein
NPIL_10051,BMAW01082406.1,AVEN_37315_1,integrase catalytic domain-containing protein
NPIL_100511,BMAW01057287.1,Unknown,hypothetical protein
NPIL_100521,BMAW01063975.1,Unknown,hypothetical protein
NPIL_100531,BMAW01106997.1,Unknown,hypothetical protein
NPIL_100541,BMAW01055030.1,Unknown,hypothetical protein
NPIL_100551,BMAW01066240.1,Npr1_9,guanylate cyclase
NPIL_100561,BMAW01054910.1,Unknown,hypothetical protein
NPIL_100571,BMAW01032299.1,X-elementORF2_761,putative RNA-directed DNA polymerase from transposon X-element
NPIL_100581,BMAW01032299.1,Unknown,hypothetical protein
NPIL_100591,BMAW01115467.1,AVEN_230738_1,integrase_H2C2 domain-containing protein
NPIL_100601,BMAW01027257.1,X975_18538,integrase catalytic domain-containing protein
NPIL_10061,BMAW01082406.1,AVEN_139256_1,integrase catalytic domain-containing protein
NPIL_100611,BMAW01027257.1,AVEN_24282_1,uncharacterized protein
NPIL_100621,BMAW01027257.1,AVEN_218542_1,integrase catalytic domain-containing protein
NPIL_100631,BMAW01027257.1,AVEN_139256_1,integrase catalytic domain-containing protein
NPIL_100641,BMAW01027257.1,AVEN_37315_1,integrase catalytic domain-containing protein
NPIL_100651,BMAW01027257.1,AVEN_1766_1,integrase catalytic domain-containing protein
NPIL_100661,BMAW01027257.1,Unknown,retrovirus-related Pol polyprotein from type-1 retrotransposable element R2
NPIL_100671,BMAW01027257.1,Unknown,hypothetical protein
NPIL_100681,BMAW01027257.1,Unknown,hypothetical protein
NPIL_100691,BMAW01027257.1,Unknown,hypothetical protein
NPIL_100701,BMAW01027257.1,Unknown,hypothetical protein
NPIL_10071,BMAW01082406.1,AVEN_218542_1,integrase catalytic domain-containing protein
NPIL_100711,BMAW01027257.1,Unknown,hypothetical protein
NPIL_100721,BMAW01027257.1,PO21_13,retrovirus-related Pol polyprotein from type-1 retrotransposable element R2
NPIL_100731,BMAW01027257.1,Unknown,hypothetical protein
NPIL_100741,BMAW01027257.1,Unknown,hypothetical protein
NPIL_100751,BMAW01027257.1,Unknown,hypothetical protein
NPIL_100761,BMAW01027257.1,Unknown,hypothetical protein
NPIL_100771,BMAW01027257.1,Unknown,reverse transcriptase domain-containing protein
NPIL_100781,BMAW01027257.1,Unknown,retrovirus-related Pol polyprotein from type-1 retrotransposable element R2
NPIL_100791,BMAW01027257.1,Unknown,reverse transcriptase domain-containing protein
NPIL_100801,BMAW01027257.1,Unknown,retrovirus-related Pol polyprotein from type-1 retrotransposable element R2
NPIL_100802,BMAW01027257.1,Unknown,retrovirus-related Pol polyprotein from type-1 retrotransposable element R2
NPIL_10081,BMAW01082406.1,X975_18538,integrase catalytic domain-containing protein
NPIL_100811,BMAW01052875.1,Unknown,hypothetical protein
NPIL_100821,BMAW01090749.1,Unknown,hypothetical protein
NPIL_100831,BMAW01090749.1,Unknown,hypothetical protein
NPIL_100841,BMAW01022833.1,X975_24243,uncharacterized protein
NPIL_100851,BMAW01001300.1,Unknown,hypothetical protein
NPIL_100861,BMAW01006107.1,Unknown,hypothetical protein
NPIL_100871,BMAW01019837.1,Unknown,hypothetical protein
NPIL_100881,BMAW01103106.1,Unknown,hypothetical protein
NPIL_100891,BMAW01103106.1,Unknown,hypothetical protein
NPIL_100901,BMAW01103106.1,Unknown,hypothetical protein
NPIL_10091,BMAW01103682.1,Orct_39,organic cation transporter protein
NPIL_100911,BMAW01103106.1,Unknown,hypothetical protein
NPIL_100921,BMAW01103106.1,Unknown,hypothetical protein
NPIL_100931,BMAW01103106.1,AVEN_157769_1,uncharacterized protein
NPIL_100941,BMAW01103106.1,Unknown,hypothetical protein
NPIL_100951,BMAW01103106.1,NLGN4Y,"neuroligin-4, Y-linked"
NPIL_100952,BMAW01103106.1,NLGN4Y,"neuroligin-4, Y-linked"
NPIL_100961,BMAW01103106.1,Unknown,hypothetical protein
NPIL_100971,BMAW01103106.1,NLGN2,neuroligin-2
NPIL_100981,BMAW01103106.1,Unknown,hypothetical protein
NPIL_100991,BMAW01103106.1,Unknown,hypothetical protein
NPIL_101,BMAW01125061.1,Unknown,hypothetical protein
NPIL_101001,BMAW01103106.1,TY3B-I_587,transposon Ty3-I Gag-Pol polyprotein
NPIL_10101,BMAW01058222.1,Unknown,hypothetical protein
NPIL_101011,BMAW01103106.1,X975_17673,piggyBac transposable element-derived protein 3
NPIL_101021,BMAW01110700.1,Unknown,hypothetical protein
NPIL_101031,BMAW01036457.1,Apex2,DNA-(apurinic or apyrimidinic site) lyase 2
NPIL_101041,BMAW01036457.1,Unknown,hypothetical protein
NPIL_101051,BMAW01036457.1,CERK,ceramide kinase
NPIL_101061,BMAW01036457.1,ppm1h,protein phosphatase 1H
NPIL_101071,BMAW01036457.1,IDH3G,"isocitrate dehydrogenase subunit gamma, mitochondrial"
NPIL_101081,BMAW01036457.1,NCL1_20180,uncharacterized protein
NPIL_101091,BMAW01036457.1,Unknown,hypothetical protein
NPIL_1011,BMAW01060065.1,Unknown,hypothetical protein
NPIL_101101,BMAW01085448.1,Unknown,hypothetical protein
NPIL_10111,BMAW01045456.1,NCL1_47061,uncharacterized protein
NPIL_101111,BMAW01000023.1,map2k6,dual specificity mitogen-activated protein kinase kinase 6
NPIL_101121,BMAW01000023.1,U2af50,splicing factor U2AF 50 kDa subunit
NPIL_101131,BMAW01000023.1,Unknown,hypothetical protein
NPIL_101141,BMAW01031818.1,gefC,ras guanine nucleotide exchange factor C
NPIL_101151,BMAW01011227.1,Unknown,hypothetical protein
NPIL_101181,BMAW01060826.1,VSX2,visual system homeobox 2
NPIL_101191,BMAW01060826.1,Vsx2,visual system homeobox 2
NPIL_101201,BMAW01060826.1,Unknown,hypothetical protein
NPIL_10121,BMAW01046281.1,Unknown,hypothetical protein
NPIL_101211,BMAW01060826.1,HNAJ_LOCUS13333,hypothetical protein
NPIL_101221,BMAW01060826.1,Unknown,hypothetical protein
NPIL_101231,BMAW01060826.1,Unknown,hypothetical protein
NPIL_101241,BMAW01060826.1,Unknown,hypothetical protein
NPIL_101251,BMAW01060826.1,Unknown,hypothetical protein
NPIL_101261,BMAW01060826.1,Unknown,hypothetical protein
NPIL_101271,BMAW01060826.1,AVEN_49333_1,uncharacterized protein
NPIL_101281,BMAW01060826.1,Unknown,hypothetical protein
NPIL_101291,BMAW01060826.1,BTBD9,hypothetical protein
NPIL_101301,BMAW01060826.1,NCL1_22290,stAR-related lipid transfer protein 9
NPIL_10131,BMAW01080428.1,Unknown,hypothetical protein
NPIL_101311,BMAW01060826.1,Unknown,hypothetical protein
NPIL_101321,BMAW01060826.1,Unknown,hypothetical protein
NPIL_101331,BMAW01060826.1,Unknown,hypothetical protein
NPIL_101341,BMAW01060826.1,cpsf2,cleavage and polyadenylation specificity factor subunit 2
NPIL_101351,BMAW01060826.1,PCNX1,pecanex-like protein 1
NPIL_101352,BMAW01060826.1,PCNX1,pecanex-like protein 1
NPIL_101361,BMAW01060826.1,MAP3K9,mitogen-activated protein kinase kinase kinase 9
NPIL_101371,BMAW01060826.1,Unknown,hypothetical protein
NPIL_101381,BMAW01060826.1,MOCS1,molybdenum cofactor biosynthesis protein 1
NPIL_101382,BMAW01060826.1,MOCS1,molybdenum cofactor biosynthesis protein 1
NPIL_101391,BMAW01060826.1,AVEN_151829_1,integrase catalytic domain-containing protein
NPIL_101401,BMAW01060826.1,CG12259,protein FAM50 homolog
NPIL_10141,BMAW01049962.1,ACSL4,long-chain-fatty-acid--CoA ligase 4
NPIL_101411,BMAW01060826.1,Pola2,DNA polymerase alpha subunit B
NPIL_101421,BMAW01060826.1,NCL1_43243,heat shock factor protein 2
NPIL_101431,BMAW01060826.1,Unknown,40S ribosomal protein S3a
NPIL_101441,BMAW01060826.1,Unknown,hypothetical protein
NPIL_101451,BMAW01060826.1,Unknown,hypothetical protein
NPIL_101461,BMAW01060826.1,AVEN_73843_1,uncharacterized protein
NPIL_101471,BMAW01060826.1,Neurochondrin,neurochondrin homolog
NPIL_101481,BMAW01060826.1,RRP15,RRP15-like protein
NPIL_101491,BMAW01060826.1,Akt1,hypothetical protein
NPIL_101501,BMAW01060826.1,Unknown,hypothetical protein
NPIL_10151,BMAW01121614.1,Ptx,pituitary homeobox x
NPIL_101511,BMAW01081541.1,pol_356,retrovirus-related Pol polyprotein from transposon 17.6
NPIL_101521,BMAW01081541.1,X975_01154,integrase catalytic domain-containing protein
NPIL_101531,BMAW01024190.1,AVEN_59230_1,uncharacterized protein
NPIL_101541,BMAW01024190.1,Unknown,hypothetical protein
NPIL_101551,BMAW01024190.1,Unknown,hypothetical protein
NPIL_101561,BMAW01024190.1,AVEN_59238_1,ig-like domain-containing protein
NPIL_101571,BMAW01024190.1,Unknown,hypothetical protein
NPIL_101581,BMAW01024190.1,Unknown,hypothetical protein
NPIL_101591,BMAW01024190.1,Unknown,hypothetical protein
NPIL_101601,BMAW01024190.1,ROR1,inactive tyrosine-protein kinase transmembrane receptor ROR1
NPIL_10161,BMAW01121614.1,Unknown,hypothetical protein
NPIL_101611,BMAW01024190.1,CG9801,PP2C-like domain-containing protein CG9801
NPIL_101621,BMAW01024190.1,Unknown,hypothetical protein
NPIL_101631,BMAW01099225.1,Unknown,hypothetical protein
NPIL_101641,BMAW01013371.1,Unknown,hypothetical protein
NPIL_101651,BMAW01130389.1,TDRD7,tudor domain-containing protein 7
NPIL_101661,BMAW01130389.1,Dyrk2,dual specificity tyrosine-phosphorylation-regulated kinase 2
NPIL_101671,BMAW01117867.1,NCL1_35110,uncharacterized protein
NPIL_101681,BMAW01077923.1,Unknown,hypothetical protein
NPIL_101691,BMAW01077923.1,Unknown,hypothetical protein
NPIL_101701,BMAW01077923.1,Unknown,hypothetical protein
NPIL_10171,BMAW01121614.1,Unknown,hypothetical protein
NPIL_101711,BMAW01071627.1,g.10136,ATP-dependent DNA helicase
NPIL_101721,BMAW01077482.1,AVEN_266891_1,uncharacterized protein
NPIL_101731,BMAW01081497.1,Unknown,hypothetical protein
NPIL_101741,BMAW01050650.1,Dscam2,down syndrome cell adhesion molecule-like protein Dscam2
NPIL_101742,BMAW01050650.1,Dscam2,down syndrome cell adhesion molecule-like protein Dscam2
NPIL_101751,BMAW01050650.1,AVEN_242516_1,ANK_REP_REGION domain-containing protein
NPIL_101761,BMAW01034712.1,Unknown,hypothetical protein
NPIL_101771,BMAW01073870.1,Unknown,hypothetical protein
NPIL_101781,BMAW01044360.1,Unknown,hypothetical protein
NPIL_101791,BMAW01131870.1,Unknown,hypothetical protein
NPIL_101801,BMAW01116160.1,Unknown,hypothetical protein
NPIL_10181,BMAW01121614.1,Unknown,hypothetical protein
NPIL_101811,BMAW01116160.1,Unknown,hypothetical protein
NPIL_101821,BMAW01116160.1,AVEN_181227_1,DUF4211 domain-containing protein
NPIL_101831,BMAW01080013.1,Unknown,hypothetical protein
NPIL_101841,BMAW01070386.1,Unknown,hypothetical protein
NPIL_101851,BMAW01120893.1,Unknown,hypothetical protein
NPIL_101861,BMAW01015603.1,Unknown,hypothetical protein
NPIL_101871,BMAW01110019.1,Unknown,hypothetical protein
NPIL_101881,BMAW01110019.1,Unknown,hypothetical protein
NPIL_101891,BMAW01103207.1,Unknown,hypothetical protein
NPIL_101901,BMAW01081308.1,Aacs_0,acetoacetyl-CoA synthetase
NPIL_10191,BMAW01121614.1,primpol,hypothetical protein
NPIL_101911,BMAW01114779.1,Unknown,hypothetical protein
NPIL_101921,BMAW01114779.1,AVEN_66331_1,uncharacterized protein
NPIL_101931,BMAW01114779.1,Unknown,hypothetical protein
NPIL_101941,BMAW01114779.1,Unknown,hypothetical protein
NPIL_101951,BMAW01114779.1,Unknown,hypothetical protein
NPIL_101961,BMAW01110801.1,Unknown,hypothetical protein
NPIL_101971,BMAW01072265.1,Unknown,hypothetical protein
NPIL_101981,BMAW01038908.1,Unknown,putative gag-pol protein
NPIL_101991,BMAW01104497.1,Unknown,hypothetical protein
NPIL_102001,BMAW01009931.1,AVEN_274169_1,uncharacterized protein
NPIL_10201,BMAW01054458.1,Unknown,hypothetical protein
NPIL_102011,BMAW01097281.1,Unknown,hypothetical protein
NPIL_102021,BMAW01064732.1,AVEN_113690_1,uncharacterized protein
NPIL_102031,BMAW01125169.1,AVEN_117975_1,DDE_Tnp_1_7 domain-containing protein
NPIL_102041,BMAW01125169.1,AP2A2,hypothetical protein
NPIL_102051,BMAW01125169.1,Unknown,hypothetical protein
NPIL_102061,BMAW01125169.1,Unknown,hypothetical protein
NPIL_102071,BMAW01125169.1,Unknown,hypothetical protein
NPIL_102081,BMAW01125169.1,Unknown,hypothetical protein
NPIL_102091,BMAW01068040.1,Unknown,hypothetical protein
NPIL_1021,BMAW01060065.1,G5I_00566,FLJ37770-like protein
NPIL_102101,BMAW01022504.1,Unknown,uncharacterized protein
NPIL_10211,BMAW01061289.1,AVEN_229520_1,uncharacterized protein
NPIL_102111,BMAW01022504.1,AVEN_227724_1,DUF4817 domain-containing protein
NPIL_102121,BMAW01022504.1,Unknown,t-complex protein 1 subunit delta
NPIL_102131,BMAW01022504.1,TY3B-I_11,transposon Ty3-I Gag-Pol polyprotein
NPIL_102141,BMAW01076161.1,gefC,ras guanine nucleotide exchange factor C
NPIL_102151,BMAW01076161.1,Unknown,hypothetical protein
NPIL_102161,BMAW01076161.1,Unknown,hypothetical protein
NPIL_102171,BMAW01126573.1,Unknown,hypothetical protein
NPIL_102181,BMAW01083097.1,Unknown,hypothetical protein
NPIL_102191,BMAW01083097.1,Unknown,hypothetical protein
NPIL_102201,BMAW01005995.1,AVEN_247860_1,uncharacterized protein
NPIL_10221,BMAW01061289.1,Unknown,hypothetical protein
NPIL_102211,BMAW01002303.1,Unknown,mariner Mos1 transposase
NPIL_102221,BMAW01002303.1,Unknown,hypothetical protein
NPIL_102231,BMAW01002303.1,Unknown,hypothetical protein
NPIL_102241,BMAW01002303.1,AVEN_147911_1,uncharacterized protein
NPIL_102251,BMAW01002303.1,Unknown,hypothetical protein
NPIL_102261,BMAW01002303.1,AVEN_233845_1,uncharacterized protein
NPIL_102271,BMAW01002303.1,PKD2,polycystin-2
NPIL_102272,BMAW01002303.1,PKD2,polycystin-2
NPIL_102281,BMAW01002303.1,chtf18,chromosome transmission fidelity protein 18 homolog
NPIL_102291,BMAW01002303.1,Fras1_4,extracellular matrix protein FRAS1
NPIL_102301,BMAW01002303.1,Unknown,hypothetical protein
NPIL_10231,BMAW01061289.1,AVEN_190533_1,uncharacterized protein
NPIL_102311,BMAW01002303.1,Unknown,hypothetical protein
NPIL_102321,BMAW01002303.1,FRAS1,extracellular matrix protein FRAS1
NPIL_102331,BMAW01002303.1,Vps33a,vacuolar protein sorting-associated protein 33A
NPIL_102341,BMAW01001193.1,NCL1_17951,metalloendopeptidase
NPIL_102351,BMAW01001193.1,BP10,blastula protease 10
NPIL_102361,BMAW01001193.1,Unknown,astacin-like metalloprotease toxin 1
NPIL_102371,BMAW01001193.1,SETMAR_215,histone-lysine N-methyltransferase SETMAR
NPIL_102381,BMAW01001193.1,Unknown,astacin
NPIL_102391,BMAW01001193.1,Unknown,astacin
NPIL_102401,BMAW01001193.1,Unknown,hypothetical protein
NPIL_10241,BMAW01009291.1,AVEN_205129_1,uncharacterized protein
NPIL_102411,BMAW01001193.1,X975_13296,e3 ubiquitin-protein ligase PDZRN3
NPIL_102421,BMAW01001193.1,Unknown,hypothetical protein
NPIL_102431,BMAW01001193.1,AVEN_2923_1,uncharacterized protein
NPIL_102441,BMAW01001193.1,Unknown,hypothetical protein
NPIL_102451,BMAW01041421.1,pol_3533,retrovirus-related Pol polyprotein from transposon 297
NPIL_102461,BMAW01128950.1,Unknown,hypothetical protein
NPIL_102471,BMAW01061721.1,Unknown,uncharacterized protein
NPIL_102481,BMAW01067579.1,Unknown,hypothetical protein
NPIL_102491,BMAW01091212.1,inx2,innexin inx2
NPIL_102501,BMAW01091212.1,inx2,innexin inx2
NPIL_10251,BMAW01009291.1,Cyp2j5,cytochrome P450 2J5
NPIL_102511,BMAW01091212.1,AVEN_174690_1,ZP domain-containing protein
NPIL_102521,BMAW01029702.1,AVEN_236479_1,uncharacterized protein
NPIL_102531,BMAW01029702.1,Unknown,hypothetical protein
NPIL_102541,BMAW01029702.1,AVEN_130546_1,uncharacterized protein
NPIL_102551,BMAW01029702.1,Unknown,hypothetical protein
NPIL_102561,BMAW01029702.1,Unknown,hypothetical protein
NPIL_102571,BMAW01029702.1,NCL1_27094,uncharacterized protein
NPIL_102581,BMAW01115047.1,Unknown,hypothetical protein
NPIL_102591,BMAW01115047.1,NCL1_40310,fatty acid synthase
NPIL_102601,BMAW01115047.1,Unknown,hypothetical protein
NPIL_10261,BMAW01009291.1,AVEN_238246_1,uncharacterized protein
NPIL_102611,BMAW01039362.1,Unknown,hypothetical protein
NPIL_102621,BMAW01039362.1,X975_24243,uncharacterized protein
NPIL_102631,BMAW01114698.1,AVEN_108806_1,uncharacterized protein
NPIL_102641,BMAW01056254.1,Unknown,hypothetical protein
NPIL_102651,BMAW01045137.1,Unknown,diuretic hormone receptor
NPIL_102661,BMAW01103576.1,Unknown,hypothetical protein
NPIL_102671,BMAW01042923.1,Unknown,hypothetical protein
NPIL_102681,BMAW01042923.1,Unknown,hypothetical protein
NPIL_102691,BMAW01042923.1,Unknown,hypothetical protein
NPIL_102701,BMAW01016115.1,Unknown,hypothetical protein
NPIL_10271,BMAW01009291.1,AVEN_238246_1,uncharacterized protein
NPIL_102711,BMAW01016115.1,CYP4C1,cytochrome P450 4C1
NPIL_102721,BMAW01016115.1,Cyp4v2,cytochrome P450 4V2
NPIL_102731,BMAW01051186.1,Ir93a,ionotropic receptor 93a
NPIL_102741,BMAW01132331.1,AVEN_57378_1,uncharacterized protein
NPIL_102751,BMAW01055149.1,Unknown,hypothetical protein
NPIL_102761,BMAW01089544.1,AVEN_231787_1,reverse transcriptase domain-containing protein
NPIL_102771,BMAW01089544.1,Unknown,hypothetical protein
NPIL_102781,BMAW01095293.1,Unknown,hypothetical protein
NPIL_102791,BMAW01095293.1,Unknown,hypothetical protein
NPIL_102801,BMAW01095293.1,AVEN_268230_1,uncharacterized protein
NPIL_102802,BMAW01095293.1,AVEN_271635_1,uncharacterized protein
NPIL_10281,BMAW01009291.1,AVEN_238246_1,uncharacterized protein
NPIL_102811,BMAW01127736.1,Unknown,hypothetical protein
NPIL_102821,BMAW01127736.1,Unknown,hypothetical protein
NPIL_102831,BMAW01029109.1,AVEN_245204_1,uncharacterized protein
NPIL_102841,BMAW01029109.1,AVEN_49229_1,uncharacterized protein
NPIL_102851,BMAW01128516.1,NCL1_51814,uncharacterized protein
NPIL_102861,BMAW01128516.1,Unknown,hypothetical protein
NPIL_102871,BMAW01128516.1,TXNDC11,thioredoxin domain-containing protein 11
NPIL_102881,BMAW01128516.1,Kptn,KICSTOR complex protein kaptin
NPIL_102891,BMAW01128516.1,RCCD1,RCC1 domain-containing protein 1
NPIL_102901,BMAW01128516.1,AVEN_236479_1,uncharacterized protein
NPIL_10291,BMAW01009291.1,Unknown,hypothetical protein
NPIL_102911,BMAW01128516.1,Unknown,hypothetical protein
NPIL_102921,BMAW01128516.1,Sf3a3,splicing factor 3A subunit 3
NPIL_102931,BMAW01128516.1,Unknown,hypothetical protein
NPIL_102941,BMAW01128516.1,AVEN_190386_1,uncharacterized protein
NPIL_102951,BMAW01128516.1,MFSD12,major facilitator superfamily domain-containing protein 12
NPIL_102961,BMAW01128516.1,AVEN_32274_1,uncharacterized protein
NPIL_102971,BMAW01128516.1,Unknown,hypothetical protein
NPIL_102981,BMAW01066941.1,Unknown,hypothetical protein
NPIL_102991,BMAW01066941.1,Unknown,hypothetical protein
NPIL_103001,BMAW01049572.1,Xpot,exportin-T
NPIL_10301,BMAW01009291.1,AVEN_238246_1,uncharacterized protein
NPIL_103011,BMAW01036077.1,Unknown,hypothetical protein
NPIL_103021,BMAW01095985.1,Unknown,hypothetical protein
NPIL_103031,BMAW01095985.1,ORF1_100,nucleic-acid-binding protein from transposon X-element
NPIL_103041,BMAW01013167.1,Unknown,hypothetical protein
NPIL_103051,BMAW01013167.1,Unknown,hypothetical protein
NPIL_103061,BMAW01013167.1,Tdpoz1,TD and POZ domain-containing protein 1
NPIL_103071,BMAW01013167.1,AVEN_175000_1,rad51 domain-containing protein
NPIL_103081,BMAW01013167.1,TfIIFbeta,general transcription factor IIF subunit 2
NPIL_103082,BMAW01013167.1,TfIIFbeta,general transcription factor IIF subunit 2
NPIL_103091,BMAW01013167.1,AVEN_209018_1,uncharacterized protein
NPIL_1031,BMAW01060065.1,Unknown,hypothetical protein
NPIL_103101,BMAW01013167.1,Unknown,hypothetical protein
NPIL_10311,BMAW01009291.1,AVEN_165576_1,uncharacterized protein
NPIL_103111,BMAW01013167.1,NCL1_21208,uncharacterized protein
NPIL_103121,BMAW01013167.1,Unknown,hypothetical protein
NPIL_103131,BMAW01013167.1,Unknown,hypothetical protein
NPIL_103141,BMAW01013167.1,Unknown,hypothetical protein
NPIL_103151,BMAW01105696.1,NCL1_08392,methyltransf_25 domain-containing protein
NPIL_103161,BMAW01046341.1,Unknown,hypothetical protein
NPIL_103171,BMAW01046341.1,Unknown,hypothetical protein
NPIL_103181,BMAW01122244.1,Unknown,hypothetical protein
NPIL_103191,BMAW01122244.1,Unknown,hypothetical protein
NPIL_103201,BMAW01118130.1,Unknown,hypothetical protein
NPIL_10321,BMAW01009291.1,AVEN_238246_1,uncharacterized protein
NPIL_103211,BMAW01019633.1,Unknown,hypothetical protein
NPIL_103221,BMAW01051503.1,Unknown,hypothetical protein
NPIL_103231,BMAW01051503.1,Unknown,hypothetical protein
NPIL_103241,BMAW01121188.1,Unknown,hypothetical protein
NPIL_103251,BMAW01121188.1,Unknown,hypothetical protein
NPIL_103261,BMAW01041322.1,Unknown,hypothetical protein
NPIL_103271,BMAW01041322.1,Unknown,hypothetical protein
NPIL_103281,BMAW01065461.1,Unknown,techylectin-5B
NPIL_103291,BMAW01053209.1,AVEN_23241_1,HTH_48 domain-containing protein
NPIL_103301,BMAW01066493.1,AACS,acetoacetyl-CoA synthetase
NPIL_10331,BMAW01009291.1,AVEN_238246_1,uncharacterized protein
NPIL_103311,BMAW01066493.1,AACS,acetoacetyl-CoA synthetase
NPIL_103321,BMAW01066493.1,AACS,acetoacetyl-CoA synthetase
NPIL_103331,BMAW01026337.1,bipA,hypothetical protein
NPIL_103341,BMAW01026337.1,mrp,iron-sulfur cluster carrier protein
NPIL_103351,BMAW01012800.1,Unknown,hypothetical protein
NPIL_103361,BMAW01020886.1,Unknown,hypothetical protein
NPIL_103371,BMAW01020886.1,Unknown,t-complex protein 1 subunit delta
NPIL_103381,BMAW01084433.1,Unknown,hypothetical protein
NPIL_103391,BMAW01012403.1,AVEN_118580_1,uncharacterized protein
NPIL_103401,BMAW01044639.1,AVEN_211427_1,uncharacterized protein
NPIL_10341,BMAW01009291.1,WH47_09223,histone-lysine N-methyltransferase SETMAR
NPIL_103411,BMAW01116767.1,Unknown,hypothetical protein
NPIL_103421,BMAW01067607.1,AVEN_199706_1,methyltransf_21 domain-containing protein
NPIL_103431,BMAW01090448.1,Unknown,hypothetical protein
NPIL_103441,BMAW01090448.1,Unknown,hypothetical protein
NPIL_103451,BMAW01025985.1,Unknown,hypothetical protein
NPIL_103461,BMAW01025985.1,POLR2C,DNA-directed RNA polymerase II subunit RPB3
NPIL_103471,BMAW01025985.1,spop-b,speckle-type POZ protein B
NPIL_103481,BMAW01025985.1,Unknown,hypothetical protein
NPIL_103491,BMAW01025985.1,VgR_2,vitellogenin receptor
