# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-t" "gene" "-g" "gene_id" "-a" "annotation.gtf" "-o" "counts/temp_counts_gene.txt" "alignments/NPFM1_sorted.bam" "alignments/NPFM2_sorted.bam" "alignments/NPFM3_sorted.bam" "alignments/NPFM4_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/NPFM1_sorted.bam	alignments/NPFM2_sorted.bam	alignments/NPFM3_sorted.bam	alignments/NPFM4_sorted.bam
NPIL_608712	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	1081645;1083992;1084660;1085217;1086312;1091490;1091710;1092415;1096978;1100262;1100532;1105281;1106111;1111235;1111848;1112716;1113371;1113654	1081705;1084157;1084741;1085312;1086373;1091603;1091971;1092581;1097155;1100353;1100582;1105444;1106204;1111541;1111961;1112844;1113503;1113661	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2280	0	0	0	0
NPIL_608721	BMAW01000086.1	1120357	1148515	+	28159	85	85	93	74
NPIL_608732	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	1168593;1172696;1174543;1175700;1177760;1177973;1179480;1180270;1180625;1182234;1182616;1188266;1189836	1168761;1172793;1174606;1175800;1177804;1178092;1179630;1180415;1180756;1182375;1182779;1189082;1189921	+;+;+;+;+;+;+;+;+;+;+;+;+	2235	0	0	1	1
NPIL_608731	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	1168593;1172696;1174543;1175700;1177973;1179480;1180270;1180625;1182234;1182616;1188266;1189836	1168761;1172793;1174606;1175800;1178092;1179630;1180415;1180756;1182375;1182779;1189082;1189921	+;+;+;+;+;+;+;+;+;+;+;+	2190	0	0	0	0
NPIL_608741	BMAW01000086.1	1199560	1199961	-	402	0	0	4	0
NPIL_608751	BMAW01000086.1	1200160	1200585	-	426	0	0	3	0
NPIL_608761	BMAW01000086.1	1201306	1201635	-	330	0	0	4	0
NPIL_608771	BMAW01000086.1	1202259	1203088	-	830	0	0	8	0
NPIL_608781	BMAW01000086.1	1212200	1220056	+	7857	63	24	40	2
NPIL_608791	BMAW01000086.1	1244629	1245011	-	383	0	0	0	0
NPIL_608801	BMAW01000086.1	1315504	1329343	-	13840	0	16	27	0
NPIL_608811	BMAW01000086.1	1353096	1354997	-	1902	0	11	20	0
NPIL_608821	BMAW01000086.1	1360046	1554705	+	194660	867	609	989	245
NPIL_608831	BMAW01000086.1	1566019	1578777	-	12759	50	329	58	212
NPIL_608841	BMAW01000086.1	1619939	1620265	+	327	2	1	2	2
NPIL_608851	BMAW01000086.1	1635948	1636202	-	255	0	0	0	0
NPIL_608861	BMAW01000086.1	1709918	1710313	+	396	0	0	13	0
NPIL_608871	BMAW01000086.1	1712147	1712632	-	486	0	6	1	0
NPIL_608881	BMAW01000086.1	1714977	1715330	-	354	2	4	2	2
NPIL_608891	BMAW01000086.1	1736610	1737437	-	828	0	0	8	0
NPIL_608901	BMAW01000086.1	1777142	1783621	-	6480	0	0	3	3
NPIL_608911	BMAW01000086.1	1875846	1879165	+	3320	0	0	6	0
NPIL_666291	BMAW01000102.1	96	446	-	351	0	1	0	0
NPIL_154111	BMAW01000103.1	13891	27061	-	13171	5	0	7	9
NPIL_154121	BMAW01000103.1	50161	55597	+	5437	74	39	73	10
NPIL_154131	BMAW01000103.1	70089	81886	+	11798	3	6	49	11
NPIL_154141	BMAW01000103.1	117414	125221	+	7808	5	6	23	4
NPIL_154151	BMAW01000103.1	141159	141974	+	816	38	6	0	6
NPIL_154161	BMAW01000103.1	364720	365037	+	318	0	0	3	0
NPIL_154171	BMAW01000103.1	365080	382277	-	17198	0	5	23	2
NPIL_154181	BMAW01000103.1	384880	401125	-	16246	2	11	37	2
NPIL_154192	BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1	415108;418867;419529;422027;424562;428617;442158;444294;448996;457600;485957;527820	415409;419107;419587;422180;424719;428704;442369;444584;449163;457752;486094;527874	-;-;-;-;-;-;-;-;-;-;-;-	2019	0	0	0	0
NPIL_154191	BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1	415108;418867;419529;422027;424538;428617;442158;444294;448996;457600;485957;527820	415409;419107;419587;422180;424719;428704;442369;444584;449163;457752;486094;527874	-;-;-;-;-;-;-;-;-;-;-;-	2043	0	0	0	0
NPIL_154201	BMAW01000103.1	595978	596235	+	258	0	0	0	0
NPIL_390611	BMAW01000104.1	22249	27042	+	4794	1	573	363	0
NPIL_390621	BMAW01000104.1	27688	28008	+	321	0	0	0	0
NPIL_390631	BMAW01000104.1	29774	30420	+	647	0	0	2	0
NPIL_390641	BMAW01000104.1	30455	30715	+	261	0	0	0	0
NPIL_390651	BMAW01000104.1	31358	33960	-	2603	0	0	0	0
NPIL_390661	BMAW01000104.1	37950	38267	+	318	2	0	0	0
NPIL_390671	BMAW01000104.1	39051	59203	-	20153	7	70	126	4
NPIL_348701	BMAW01000108.1	2324	4073	+	1750	39	19	10	68
NPIL_350751	BMAW01000123.1	43839	71772	+	27934	0	25	47	0
NPIL_105361	BMAW01000130.1	2	205	+	204	0	0	0	0
NPIL_238461	BMAW01000139.1	2938	3219	-	282	0	0	0	0
NPIL_40911	BMAW01000143.1	13791	14078	+	288	0	0	0	0
NPIL_452821	BMAW01000145.1	2964	3432	+	469	0	0	0	0
NPIL_601861	BMAW01000155.1	2521	4624	-	2104	0	0	0	0
NPIL_249391	BMAW01000167.1	16375	33211	+	16837	130	2250	104	16
NPIL_249401	BMAW01000167.1	35473	93733	-	58261	2867	229	262	20
NPIL_249411	BMAW01000167.1	150011	159803	-	9793	0	5	9	0
NPIL_80395	BMAW01000181.1	15556	15629	-	74	0	0	0	0
NPIL_161971	BMAW01000181.1	19780	21522	+	1743	0	0	0	0
NPIL_453361	BMAW01000183.1	6864	14895	+	8032	0	5	7	22
NPIL_453371	BMAW01000183.1	23110	60236	+	37127	0	32	86	2
NPIL_453381	BMAW01000183.1	85213	114726	+	29514	0	24	68	2
NPIL_453391	BMAW01000183.1	136675	177191	+	40517	11	84	117	10
NPIL_453401	BMAW01000183.1	197656	200046	+	2391	81	97	9	25
NPIL_453411	BMAW01000183.1	218768	240429	+	21662	4	63	127	30
NPIL_453421	BMAW01000183.1	246593	275093	-	28501	53	51	132	18
NPIL_453431	BMAW01000183.1	285927	286919	+	993	0	0	2	0
NPIL_453441	BMAW01000183.1	296826	337725	-	40900	188	95	114	4
NPIL_453451	BMAW01000183.1	354313	385769	-	31457	870	317	65	4
NPIL_453461	BMAW01000183.1	410692	434656	-	23965	12	26	18	1
NPIL_453471	BMAW01000183.1	434700	437537	-	2838	1	0	6	0
NPIL_453481	BMAW01000183.1	463249	489636	-	26388	74	204	41	9
NPIL_453491	BMAW01000183.1	519206	546993	-	27788	8	54	92	6
NPIL_535711	BMAW01000185.1	1832	11816	-	9985	17	0	1	5
NPIL_339711	BMAW01000190.1	20226	26593	+	6368	0	29	24	0
NPIL_339721	BMAW01000190.1	26599	28597	+	1999	0	1	3	4
NPIL_339731	BMAW01000190.1	37476	41835	-	4360	0	0	0	0
NPIL_339741	BMAW01000190.1	51092	51748	+	657	361	3	6	154
NPIL_339751	BMAW01000190.1	64510	65142	+	633	22	4	2	28
NPIL_339761	BMAW01000190.1	75567	76193	+	627	15	0	0	30
NPIL_339771	BMAW01000190.1	96638	113407	+	16770	0	20	41	2
NPIL_339781	BMAW01000190.1	117231	123775	+	6545	4	14	36	12
NPIL_339791	BMAW01000190.1	127010	131581	+	4572	222	14	10	102
NPIL_339801	BMAW01000190.1	134531	135148	+	618	212	2	5	36
NPIL_339811	BMAW01000190.1	137548	138057	+	510	18	0	3	0
NPIL_339821	BMAW01000190.1	149574	149834	-	261	0	0	0	0
NPIL_339831	BMAW01000190.1	159084	169870	+	10787	0	8	52	0
NPIL_339842	BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1	176396;198652;201030;201244;203312;206728;207336;209511;210047;210863;212571;214195;216754;218681;219382;221109;221807;224238	176584;198779;201146;201357;203485;206897;207435;209547;210152;211108;212698;214335;216948;218845;219798;221298;221879;224316	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2769	101	21	8	41
NPIL_339841	BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1;BMAW01000190.1	176396;198652;201030;201244;203312;206728;207336;209511;210047;210863;212571;214195;216754;218681;219382;221109;221807;223954	176584;198779;201146;201357;203485;206897;207435;209547;210152;211108;212698;214335;216948;218845;219798;221298;221879;224017	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2754	5	3	23	6
NPIL_339852	BMAW01000190.1	243627	245210	-	1584	1	0	0	2
NPIL_339851	BMAW01000190.1	243627	244244	-	618	0	0	0	0
NPIL_339861	BMAW01000190.1	248741	268375	+	19635	2	8	37	5
NPIL_339871	BMAW01000190.1	288035	294680	-	6646	0	0	8	2
NPIL_339881	BMAW01000190.1	296766	302151	+	5386	0	0	4	0
NPIL_419311	BMAW01000199.1	1	517	-	517	0	0	10	16
NPIL_486161	BMAW01000203.1	388	467	-	80	0	0	0	0
NPIL_193511	BMAW01000206.1	1078	26855	+	25778	0	1	9	0
NPIL_193521	BMAW01000206.1	41844	78490	+	36647	8	41	105	2
NPIL_193531	BMAW01000206.1	104467	113410	+	8944	0	12	25	0
NPIL_193542	BMAW01000206.1;BMAW01000206.1;BMAW01000206.1;BMAW01000206.1;BMAW01000206.1;BMAW01000206.1	131762;132647;134674;141070;143637;151582	131887;132707;134949;141129;143831;158791	+;+;+;+;+;+	7928	1	4	15	6
NPIL_193541	BMAW01000206.1;BMAW01000206.1;BMAW01000206.1;BMAW01000206.1;BMAW01000206.1;BMAW01000206.1	131762;132647;134674;141070;143637;148087	131887;132707;134949;141129;143831;148268	+;+;+;+;+;+	900	104	0	0	2
NPIL_193551	BMAW01000206.1	159542	179407	-	19866	0	0	10	2
NPIL_193561	BMAW01000206.1	182085	182375	-	291	0	0	0	0
NPIL_193571	BMAW01000206.1	207788	223371	+	15584	28	66	46	24
NPIL_193582	BMAW01000206.1;BMAW01000206.1	226015;231565	226135;232640	-;-	1197	0	0	0	0
NPIL_193581	BMAW01000206.1	231561	232640	-	1080	0	0	0	0
NPIL_193591	BMAW01000206.1	243175	244281	-	1107	14	0	2	2
NPIL_193601	BMAW01000206.1	260928	261572	-	645	64	0	1	23
NPIL_276651	BMAW01000208.1	1140	33895	+	32756	0	0	0	0
NPIL_276661	BMAW01000208.1;BMAW01000208.1;BMAW01000208.1;BMAW01000208.1;BMAW01000208.1;BMAW01000208.1;BMAW01000208.1	40090;46559;49140;51973;52520;55187;59414	40150;46761;49376;52147;52647;55336;63962	+;+;+;+;+;+;+	5503	0	0	0	0
NPIL_276662	BMAW01000208.1;BMAW01000208.1;BMAW01000208.1;BMAW01000208.1;BMAW01000208.1;BMAW01000208.1;BMAW01000208.1	40090;46559;49140;51973;52520;55187;59226	40150;46761;49376;52147;52647;55336;59282	+;+;+;+;+;+;+	1011	0	0	0	0
NPIL_207801	BMAW01000210.1	1547	4923	-	3377	0	9	93	22
NPIL_336061	BMAW01000213.1	850	1113	+	264	0	0	0	0
NPIL_50371	BMAW01000220.1;BMAW01000220.1	88946;109237	104831;109301	-;-	15951	4	35	55	7
NPIL_80396	BMAW01000220.1	106819	106890	-	72	0	0	0	0
NPIL_50381	BMAW01000220.1	110166	124083	+	13918	0	34	81	3
NPIL_50391	BMAW01000220.1	124090	129303	+	5214	1006	444	71	605
NPIL_50401	BMAW01000220.1	132031	153912	-	21882	2690	1678	125	4
NPIL_276861	BMAW01000221.1	1422	4907	+	3486	0	0	4	0
NPIL_656961	BMAW01000222.1	8558	8938	+	381	0	0	0	0
NPIL_656971	BMAW01000222.1	110097	110411	-	315	0	2	6	4
NPIL_656981	BMAW01000222.1	224197	228382	-	4186	0	0	6	0
NPIL_416341	BMAW01000227.1	677	2416	-	1740	0	0	0	0
NPIL_618421	BMAW01000237.1	143	1531	-	1389	0	0	1	0
NPIL_124191	BMAW01000245.1	9589	9900	-	312	0	0	0	0
NPIL_481131	BMAW01000249.1	1634	2350	+	717	0	0	0	0
NPIL_242971	BMAW01000256.1	2084	2246	+	163	0	0	0	0
NPIL_665021	BMAW01000261.1	1112	1816	+	705	0	0	0	0
NPIL_665031	BMAW01000261.1	3807	12369	-	8563	0	0	0	0
NPIL_665041	BMAW01000261.1	20417	21407	+	991	0	0	0	0
NPIL_59091	BMAW01000271.1	11840	12544	+	705	0	0	6	10
NPIL_508691	BMAW01000273.1	2	1751	+	1750	0	0	6	4
NPIL_49381	BMAW01000274.1	1468	1555	-	88	0	0	0	0
NPIL_227481	BMAW01000282.1	105	4328	+	4224	0	0	0	0
NPIL_684181	BMAW01000285.1	61927	66962	+	5036	0	2	30	0
NPIL_684191	BMAW01000285.1	75598	75876	-	279	0	2	4	0
NPIL_287681	BMAW01000287.1	1354	3069	-	1716	0	0	0	0
NPIL_383881	BMAW01000291.1	7894	8873	+	980	0	0	0	2
NPIL_294441	BMAW01000298.1	14366	14724	+	359	0	0	0	0
NPIL_529841	BMAW01000300.1	916	2782	+	1867	0	0	0	0
NPIL_510601	BMAW01000311.1	745	2719	+	1975	0	0	0	0
NPIL_588211	BMAW01000315.1	450	626	+	177	0	0	0	0
NPIL_617871	BMAW01000323.1	1562	58434	-	56873	0	66	137	13
NPIL_646271	BMAW01000326.1	144	251	-	108	0	0	0	0
NPIL_679081	BMAW01000336.1	46	269	+	224	0	0	0	0
NPIL_307001	BMAW01000338.1	70675	71039	-	365	0	0	0	0
NPIL_307011	BMAW01000338.1	320748	321501	+	754	0	0	0	0
NPIL_283841	BMAW01000339.1	4656	5806	+	1151	0	0	0	0
NPIL_283851	BMAW01000339.1	36203	36598	+	396	0	0	0	0
NPIL_283861	BMAW01000339.1	58588	60895	+	2308	0	0	0	0
NPIL_561151	BMAW01000344.1	188	495	+	308	0	0	0	0
NPIL_319221	BMAW01000350.1	5581	14506	+	8926	11	2	0	10
NPIL_319231	BMAW01000350.1	36775	37077	-	303	0	0	0	0
NPIL_319241	BMAW01000350.1	41646	50152	-	8507	0	0	0	18
NPIL_137981	BMAW01000358.1	6139	7847	+	1709	0	0	0	0
NPIL_286151	BMAW01000360.1	624	1019	+	396	0	0	0	0
NPIL_626761	BMAW01000361.1	12	3028	-	3017	0	0	0	0
NPIL_626771	BMAW01000361.1	3057	3938	-	882	0	0	0	0
NPIL_635661	BMAW01000370.1	3536	4132	+	597	2	3	13	0
NPIL_292191	BMAW01000373.1	3707	4312	+	606	0	0	0	0
NPIL_667011	BMAW01000377.1	792	1108	+	317	0	0	0	0
NPIL_193811	BMAW01000387.1	1032	1397	-	366	0	0	1	0
NPIL_391471	BMAW01000393.1	7435	17954	-	10520	0	4	0	0
NPIL_391481	BMAW01000393.1	30342	38351	-	8010	0	0	0	0
NPIL_212711	BMAW01000397.1	2797	3906	-	1110	0	0	0	0
NPIL_110261	BMAW01000402.1	6552	7103	+	552	0	0	0	0
NPIL_590831	BMAW01000405.1	186	28233	-	28048	0	0	1	0
NPIL_590841	BMAW01000405.1	55189	94878	-	39690	16	2	7	1
NPIL_590851	BMAW01000405.1	175666	205149	+	29484	19	4	19	6
NPIL_590861	BMAW01000405.1	293179	330118	+	36940	36	12	42	3
NPIL_590871	BMAW01000405.1	343629	344192	-	564	0	0	1	0
NPIL_590881	BMAW01000405.1	360504	360761	-	258	0	0	10	0
NPIL_590891	BMAW01000405.1	363146	388778	+	25633	3	29	71	0
NPIL_204881	BMAW01000410.1	1025	1391	+	367	0	0	0	0
NPIL_73671	BMAW01000411.1	189350	189706	+	357	0	0	0	0
NPIL_239761	BMAW01000412.1	5505	5757	+	253	0	0	0	0
NPIL_352701	BMAW01000419.1	195	340	-	146	0	0	0	0
NPIL_484041	BMAW01000421.1	2527	2806	-	280	0	0	0	0
NPIL_484051	BMAW01000421.1	6341	6817	-	477	0	0	0	0
NPIL_634981	BMAW01000424.1	22605	23789	+	1185	0	0	2	0
NPIL_634991	BMAW01000424.1	36487	63953	+	27467	0	12	47	2
NPIL_635001	BMAW01000424.1	67400	67759	+	360	0	0	0	0
NPIL_456531	BMAW01000426.1	8951	9211	+	261	0	0	0	0
NPIL_456541	BMAW01000426.1	20447	21128	-	682	0	0	4	0
NPIL_456551	BMAW01000426.1	39756	43293	+	3538	0	1	12	0
NPIL_456561	BMAW01000426.1	43563	43871	+	309	0	0	0	0
NPIL_456571	BMAW01000426.1	55279	56293	+	1015	0	0	4	2
NPIL_456581	BMAW01000426.1	79744	84931	+	5188	0	13	6	0
NPIL_456591	BMAW01000426.1	85964	86374	+	411	0	0	2	0
NPIL_456601	BMAW01000426.1	111069	111672	+	604	0	0	4	0
NPIL_456611	BMAW01000426.1	139216	139938	+	723	0	0	0	0
NPIL_456621	BMAW01000426.1	148476	178198	+	29723	0	32	90	0
NPIL_74601	BMAW01000429.1	561	1438	-	878	0	0	1	0
NPIL_423621	BMAW01000430.1	4049	7015	-	2967	0	0	0	0
NPIL_624741	BMAW01000438.1	619	945	+	327	0	0	326	16
NPIL_80397	BMAW01000441.1	179	260	+	82	0	0	0	0
NPIL_513311	BMAW01000443.1	954	1376	+	423	0	0	0	0
NPIL_133931	BMAW01000449.1	118	672	-	555	0	0	14	0
NPIL_130641	BMAW01000456.1	352	744	+	393	0	0	3	0
NPIL_130651	BMAW01000456.1	1029	3236	+	2208	0	0	14	0
NPIL_641231	BMAW01000458.1	405	662	+	258	0	0	0	0
NPIL_161801	BMAW01000459.1	1	2334	-	2334	0	0	0	0
NPIL_13761	BMAW01000462.1	1011	1217	+	207	0	0	0	0
NPIL_13771	BMAW01000462.1	6563	7463	+	901	0	0	0	0
NPIL_13781	BMAW01000462.1	9006	9362	+	357	0	0	0	0
NPIL_13791	BMAW01000462.1	10873	11653	+	781	0	0	0	0
NPIL_13801	BMAW01000462.1	11830	12111	-	282	0	0	0	0
NPIL_369131	BMAW01000464.1	18731	19247	-	517	0	0	0	0
NPIL_238591	BMAW01000466.1	7024	7574	+	551	0	0	0	0
