"","Chr","Start","End","Strand","Length","NPFM1","NPFM2","NPFM3","NPFM4","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","FoldChange"
"NPIL_80431","BMAW01002240.1;BMAW01002240.1","1051;1121","1088;1166","+;+",84,0,0,1,0,0.268841825352858,1.71066871988845,4.99654001345877,0.342370663555293,0.732071963045407,0.891821718895381,3.27312504586027
"NPIL_80432","BMAW01002303.1","675","747","+",73,0,0,13,0,3.49494372958715,5.39820797599054,4.43515228425302,1.21714151623538,0.223550377162044,0.891821718895381,42.171837423852
"NPIL_80433","BMAW01002303.1","879","951","+",73,0,0,20,0,5.37683650705716,6.01950620615373,4.79573867052496,1.25517811117402,0.209414109694143,0.891821718895381,64.8711993233381
"NPIL_80434","BMAW01002303.1","3231","3299","+",69,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80435","BMAW01002303.1","242163","242246","-",84,0,6,8,0,4.40885174520149,-0.0488672046012564,3.9757695350587,-0.012291256867467,0.990193242839173,0.994523533988615,-1.03445235915239
"NPIL_80436","BMAW01002361.1","51141","51212","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80437","BMAW01002361.1","51583","51654","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80279","BMAW01002365.1","855","965","+",111,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80280","BMAW01002365.1","2146","2256","+",111,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80281","BMAW01002365.1","3778","3882","+",105,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80438","BMAW01002432.1","597363","597434","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80439","BMAW01002432.1","597884","597955","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80440","BMAW01002533.1","826","898","-",73,0,3,7,0,3.01095134865932,0.778614737542059,4.02617660454484,0.19338812327883,0.846655016121669,0.954738635201031,1.71548289098066
"NPIL_80441","BMAW01002717.1;BMAW01002717.1","1878;1934","1911;1970","-;-",71,0,2,0,0,0.75270571412621,-2.86399280466654,4.85926394632269,-0.589388194653206,0.555600893974388,0.891821718895381,-7.28027428273396
"NPIL_80289","BMAW01002718.1","3235","3901","+",667,5,0,6,2,2.8392094248583,1.60762975321931,3.56337998816123,0.451153050912449,0.651879244535192,0.891821718895381,3.0475074616756
"NPIL_80442","BMAW01002762.1","553","625","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80446","BMAW01002845.1","521","592","-",72,0,0,1,0,0.268841825352858,1.71066871988845,4.99654001345877,0.342370663555293,0.732071963045407,0.891821718895381,3.27312504586027
"NPIL_80445","BMAW01002845.1","2416","2487","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80444","BMAW01002845.1","4398","4469","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80443","BMAW01002845.1","4847","4918","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80447","BMAW01002856.1","2013","2082","-",70,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80448","BMAW01002887.1","281067","281140","+",74,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80201","BMAW01003025.1","696900","697607","-",708,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80449","BMAW01003107.1","6305","6376","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80292","BMAW01003148.1","891","997","+",107,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80450","BMAW01003461.1","6458","6530","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80452","BMAW01003760.1","376","448","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80451","BMAW01003760.1","996","1068","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80453","BMAW01003762.1","96","173","-",78,0,0,29,0,7.79641293523288,6.55548945592502,4.79232708690358,1.3679136121238,0.171339118428479,0.891821718895381,94.0586979409445
"NPIL_80455","BMAW01003766.1","1295","1366","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80454","BMAW01003766.1","1372","1443","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80456","BMAW01003804.1","42","136","-",95,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80457","BMAW01003871.1","172966","173047","+",82,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80458","BMAW01003926.1;BMAW01003926.1","3968;4017","4004;4063","+;+",84,0,0,2,0,0.537683650705716,2.69917582783982,4.89353184775603,0.551580312913985,0.581235927740693,0.891821718895381,6.4943080906042
"NPIL_80215","BMAW01003929.1","34456","34566","-",111,0,0,2,0,0.537683650705716,2.69917582783982,4.89353184775603,0.551580312913985,0.581235927740693,0.891821718895381,6.4943080906042
"NPIL_80459","BMAW01004020.1","2142","2213","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80460","BMAW01004083.1","20822","20894","+",73,0,0,1,0,0.268841825352858,1.71066871988845,4.99654001345877,0.342370663555293,0.732071963045407,0.891821718895381,3.27312504586027
"NPIL_80461","BMAW01004083.1","383802","383873","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80463","BMAW01004083.1","384484","384555","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80462","BMAW01004083.1","429601","429672","-",72,0,2,0,0,0.75270571412621,-2.86399280466654,4.85926394632269,-0.589388194653206,0.555600893974388,0.891821718895381,-7.28027428273396
"NPIL_80464","BMAW01004141.1","164","236","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80465","BMAW01004141.1","3240","3312","+",73,0,0,2,0,0.537683650705716,2.69917582783982,4.89353184775603,0.551580312913985,0.581235927740693,0.891821718895381,6.4943080906042
"NPIL_80466","BMAW01004141.1","4780","4850","+",71,0,0,1,0,0.268841825352858,1.71066871988845,4.99654001345877,0.342370663555293,0.732071963045407,0.891821718895381,3.27312504586027
"NPIL_80467","BMAW01004141.1","7818","7884","+",67,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80470","BMAW01004209.1","293500","293579","-",80,0,0,3,0,0.806525476058573,3.28359165010455,4.85756473614397,0.675974861574595,0.499056605713363,0.891821718895381,9.73777151628258
"NPIL_80469","BMAW01004209.1","294009","294081","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80468","BMAW01004209.1","350469","350541","+",73,0,0,1,0,0.268841825352858,1.71066871988845,4.99654001345877,0.342370663555293,0.732071963045407,0.891821718895381,3.27312504586027
"NPIL_80471","BMAW01004299.1","31064","31136","+",73,0,2,14,0,4.51649126906622,2.38454791845219,3.99002472652078,0.597627353685966,0.550088608323698,0.891821718895381,5.22180259285323
"NPIL_80472","BMAW01004299.1","31147","31218","+",72,0,2,0,0,0.75270571412621,-2.86399280466654,4.85926394632269,-0.589388194653206,0.555600893974388,0.891821718895381,-7.28027428273396
"NPIL_80474","BMAW01004562.1;BMAW01004562.1","2934;2988","2969;3025","-;-",74,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80473","BMAW01004562.1;BMAW01004562.1","135863;135917","135898;135953","-;-",73,0,1,0,0,0.376352857063105,-1.74918591944753,4.93135297991929,-0.354707100986342,0.722809030610026,0.891821718895381,-3.36168820023485
"NPIL_80475","BMAW01004623.1","18673","18743","+",71,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80476","BMAW01004735.1","81104","81176","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80477","BMAW01004868.1;BMAW01004868.1","740;796","777;831","+;+",74,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80478","BMAW01004893.1","3237","3308","-",72,0,0,10,0,2.68841825352858,5.01979173912096,4.48252748366902,1.11985743699494,0.262774518491331,0.891821718895381,32.4420198331592
"NPIL_80479","BMAW01004897.1","9495","9581","+",87,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80480","BMAW01004959.1","39049","39122","+",74,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80481","BMAW01004959.1","39992","40065","+",74,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80482","BMAW01005340.1","6998","7071","-",74,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80493","BMAW01005367.1","34","105","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80492","BMAW01005367.1","2287","2358","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80491","BMAW01005367.1","2749","2820","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80490","BMAW01005367.1","5915","5986","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80489","BMAW01005367.1","7777","7848","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80488","BMAW01005367.1","12433","12504","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80487","BMAW01005367.1","14520","14591","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80483","BMAW01005367.1","26294","26365","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80484","BMAW01005367.1","34688","34759","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80485","BMAW01005367.1","36601","36672","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80486","BMAW01005367.1","40325","40396","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80494","BMAW01005374.1","2019","2090","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80495","BMAW01005436.1","447193","447272","+",80,0,0,1,0,0.268841825352858,1.71066871988845,4.99654001345877,0.342370663555293,0.732071963045407,0.891821718895381,3.27312504586027
"NPIL_80496","BMAW01005436.1","447555","447634","+",80,0,2,0,0,0.75270571412621,-2.86399280466654,4.85926394632269,-0.589388194653206,0.555600893974388,0.891821718895381,-7.28027428273396
"NPIL_80497","BMAW01005436.1","449078","449159","+",82,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80498","BMAW01005704.1","283054","283126","-",73,0,0,1,0,0.268841825352858,1.71066871988845,4.99654001345877,0.342370663555293,0.732071963045407,0.891821718895381,3.27312504586027
"NPIL_80499","BMAW01005757.1;BMAW01005757.1","11911;11967","11946;12004","-;-",74,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80500","BMAW01006016.1","11209","11284","-",76,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80501","BMAW01006328.1;BMAW01006328.1","1384;1437","1420;1472","+;+",73,0,0,5,0,1.34420912676429,4.02013983356769,4.69792207260442,0.85572722821667,0.392148675749104,0.891821718895381,16.2249242051548
"NPIL_80502","BMAW01006439.1","1606","1683","-",78,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80503","BMAW01006474.1","5065","5151","+",87,0,0,6,0,1.61305095211715,4.28306827202617,4.62524315841106,0.926020130257878,0.354435518922147,0.891821718895381,19.4684790146603
"NPIL_80504","BMAW01006499.1","1060","1130","+",71,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80249","BMAW01006633.1","9798","9899","+",102,0,0,8,0,2.15073460282286,4.69795996455743,4.53500157820756,1.03593347952357,0.300233177185137,0.891821718895381,25.9553486957577
"NPIL_80505","BMAW01006734.1","424993","425064","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80509","BMAW01006734.1","1207005","1207076","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80508","BMAW01006734.1","1207081","1207152","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80507","BMAW01006734.1","1305938","1306009","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80506","BMAW01006734.1","1306014","1306085","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80510","BMAW01006807.1;BMAW01006807.1","497;553","530;589","-;-",71,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80512","BMAW01006936.1","254448","254519","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80511","BMAW01006936.1","255215","255286","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80174","BMAW01006954.1","49878","49967","+",90,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80514","BMAW01007012.1","855618","855699","-",82,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80513","BMAW01007012.1","858777","858849","+",73,0,2,3,0,1.55923119018478,0.158669708282786,4.20946555413706,0.0376935518873281,0.969932017193463,0.985668377354419,1.11625737590065
"NPIL_80515","BMAW01007366.1","73","144","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80516","BMAW01007483.1","4640","4713","+",74,0,0,2,0,0.537683650705716,2.69917582783982,4.89353184775603,0.551580312913985,0.581235927740693,0.891821718895381,6.4943080906042
"NPIL_80519","BMAW01007695.1","4262","4333","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80518","BMAW01007695.1","5288","5359","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80517","BMAW01007695.1","8809","8880","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80520","BMAW01007760.1","6426","6497","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80521","BMAW01007809.1","4810","4881","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80522","BMAW01007957.1","128330","128400","+",71,0,1,0,0,0.376352857063105,-1.74918591944753,4.93135297991929,-0.354707100986342,0.722809030610026,0.891821718895381,-3.36168820023485
"NPIL_80523","BMAW01008184.1","18696","18767","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80524","BMAW01008415.1","44573","44646","-",74,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80526","BMAW01008817.1","643","714","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80525","BMAW01008817.1","3218","3289","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80527","BMAW01008995.1","1673","1752","-",80,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80529","BMAW01009045.1","11121","11194","-",74,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80528","BMAW01009045.1","825140","825212","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80539","BMAW01009222.1","10090","10161","-",72,0,3,0,0,1.12905857118931,-3.46360091259568,4.81676337878583,-0.719072256663094,0.472096400208687,0.891821718895381,-11.0318352566182
"NPIL_80538","BMAW01009222.1","15883","15954","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80537","BMAW01009222.1","16472","16543","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80530","BMAW01009222.1","29510","29583","+",74,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80531","BMAW01009222.1","30869","30940","+",72,0,0,2,0,0.537683650705716,2.69917582783982,4.89353184775603,0.551580312913985,0.581235927740693,0.891821718895381,6.4943080906042
"NPIL_80532","BMAW01009222.1","32920","32991","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80533","BMAW01009222.1","33655","33728","+",74,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80534","BMAW01009222.1","39752","39825","+",74,0,0,1,0,0.268841825352858,1.71066871988845,4.99654001345877,0.342370663555293,0.732071963045407,0.891821718895381,3.27312504586027
"NPIL_80536","BMAW01009222.1","225661","225732","-",72,0,2,2,0,1.29038936483193,-0.427078948446214,4.29983812078598,-0.0993244248851272,0.920880686048255,0.976999608286085,-1.34450856753788
"NPIL_80535","BMAW01009222.1","370851","370922","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80540","BMAW01009304.1","2486","2557","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80541","BMAW01009473.1","6768","6840","-",73,0,2,5,0,2.0969148408905,0.896977776861171,4.1118602762515,0.218144031313944,0.827316891375442,0.945309018503614,1.86216095488718
"NPIL_80542","BMAW01009525.1","304688","304760","+",73,0,0,2,0,0.537683650705716,2.69917582783982,4.89353184775603,0.551580312913985,0.581235927740693,0.891821718895381,6.4943080906042
"NPIL_80543","BMAW01009525.1","514719","514790","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80544","BMAW01009577.1","5735","5816","+",82,1,0,3,0,0.941407213397727,2.01039764872886,4.45494693887111,0.451273085025406,0.651792740764262,0.891821718895381,4.02893253822949
"NPIL_80220","BMAW01009615.1","58249","60172","-",1924,1704,123,56,674,477.124701961734,-0.45834351251223,3.02286268840512,-0.151625647526205,0.879482203490104,0.96553388221426,-1.37396334165466
"NPIL_80545","BMAW01009692.1","27103","27175","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80546","BMAW01009692.1","28583","28655","+",73,0,1,2,1,1.18991140079151,1.33833062235179,3.980560849821,0.3362165968175,0.736707538236839,0.891821718895381,2.5285856063509
"NPIL_80547","BMAW01009692.1","29363","29435","+",73,0,2,6,0,2.36575666624336,1.16050182137952,4.08232818153611,0.284274504589888,0.776200022895944,0.900339757197484,2.23535167688468
"NPIL_80548","BMAW01009692.1","30727","30799","+",73,0,1,2,0,0.91403650776882,0.698848229026016,4.5098790662041,0.154959416597888,0.876853311627851,0.96553388221426,1.62320839206183
"NPIL_80555","BMAW01009692.1","47328","47393","-",66,0,0,2,0,0.537683650705716,2.69917582783982,4.89353184775603,0.551580312913985,0.581235927740693,0.891821718895381,6.4943080906042
"NPIL_80554","BMAW01009692.1","58714","58786","-",73,0,0,9,0,2.41957642817572,4.86783234049204,4.50561191740474,1.08039316961323,0.279967136168575,0.891821718895381,29.1987021757515
"NPIL_80553","BMAW01009692.1","59312","59384","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80549","BMAW01009692.1","65931","66003","+",73,0,0,7,0,1.88189277747,4.50537950442079,4.57339525730654,0.98512795219764,0.324561224801803,0.891821718895381,22.7119473461765
"NPIL_80552","BMAW01009692.1","80014","80084","-",71,0,0,1,0,0.268841825352858,1.71066871988845,4.99654001345877,0.342370663555293,0.732071963045407,0.891821718895381,3.27312504586027
"NPIL_80550","BMAW01009692.1","90741","90810","+",70,0,0,3,0,0.806525476058573,3.28359165010455,4.85756473614397,0.675974861574595,0.499056605713363,0.891821718895381,9.73777151628258
"NPIL_80551","BMAW01009692.1","91426","91498","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80557","BMAW01009798.1","1305","1376","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80556","BMAW01009798.1","1382","1453","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80558","BMAW01009831.1","30372","30444","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80559","BMAW01009837.1","153384","153456","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80560","BMAW01010021.1","47859","47959","-",101,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80561","BMAW01010225.1","16509","16580","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80562","BMAW01010452.1","3845","3917","-",73,0,0,1,0,0.268841825352858,1.71066871988845,4.99654001345877,0.342370663555293,0.732071963045407,0.891821718895381,3.27312504586027
"NPIL_80563","BMAW01010517.1","1005","1081","+",77,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80564","BMAW01010517.1","4521","4592","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80565","BMAW01010560.1;BMAW01010560.1","737;793","774;828","+;+",74,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80566","BMAW01010655.1","6692","6765","+",74,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80567","BMAW01010655.1","15776","15849","-",74,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80568","BMAW01010812.1;BMAW01010812.1","14718;14771","14754;14806","+;+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80569","BMAW01010866.1","1","72","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80570","BMAW01010866.1","4885","4956","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
