Gene ID,protein_id,Preferred_Name,Pfam_Domains,sseqid,pident,evalue,bitscore,NPFM1,NPFM2,NPFM3,NPFM4,Protein Description
,GFS28320.1,ctsla,"Inhibitor_I29,Peptidase_C1",7955.ENSDARP00000106602,50.8,1.15e-111,336.0,,,,,cathepsin L [Nephila pilipes]
,GFS28324.1,LOC657028,Cobalamin_bind,7070.TC015544-PA,26.8,5.77e-41,161.0,,,,,uncharacterized protein CG3556 [Nephila pilipes]
,GFS28326.1,L798_06160,"Misat_Tub_SegII,Tubulin_3",136037.KDR19639,33.2,1.1799999999999998e-89,293.0,,,,,protein misato homolog 1 [Nephila pilipes]
NPIL_79191,GFS28328.1,UY3_07369,"CENP-B_N,DDE_1,HTH_Tnp_Tc5",8469.XP_007060189.1,31.7,1.63e-11,67.8,0.0,0.0,0.0,0.0,hypothetical protein NPIL_79191 [Nephila pilipes]
,GFS28329.1,,"Activin_recp,Pkinase_Tyr",126957.SMAR009121-PA,43.6,1.3700000000000002e-245,732.0,,,,,bone morphogenetic protein receptor type-2 [Nephila pilipes]
,GFS28331.1,,Transposase_1,1561998.Csp11.Scaffold71.g447.t1,35.7,6.92e-07,52.4,,,,,mariner-7 protein [Nephila pilipes]
,GFS28335.1,,PIF1,7091.BGIBMGA012372-TA,86.5,1.08e-220,633.0,,,,,ATP-dependent DNA helicase [Nephila pilipes]
,GFS28349.1,,"DUF1759,Peptidase_A17,rve",7425.NV17816-PA,32.4,2.83e-41,167.0,,,,,putative RNA-directed DNA polymerase from transposon X-element [Nephila pilipes]
,GFS28356.1,8238631,ANF_receptor,121225.PHUM226220-PA,47.4,6.37e-29,112.0,,,,,"glutamate receptor ionotropic, kainate 1 [Nephila pilipes]"
"NPIL_171391,",GFS28369.1,,"Exo_endo_phos_2,PRE_C2HC,RVT_1",7425.NV10506-PA,34.2,0.000305,46.6,,,,,"hypothetical protein NPIL_171391, partial [Nephila pilipes]"
"NPIL_153961,",GFS28392.1,,CBM_14,6087.XP_004209569.1,32.5,2.01e-17,88.6,,,,,"uncharacterized protein NPIL_153961, partial [Nephila pilipes]"
,GFS28394.1,,"DUF1758,Peptidase_A17",7029.ACYPI56838-PA,40.3,3.64e-39,150.0,,,,,integrase catalytic domain-containing protein [Nephila pilipes]
,GFS28396.1,,"Peptidase_A17,Sugar_tr",7029.ACYPI56744-PA,33.1,3.02e-10,65.1,,,,,DUF5641 domain-containing protein [Nephila pilipes]
,GFS28427.1,T01_18,"DUF1758,DUF1759,Filament,LTD,RVT_1",6334.EFV52969,35.7,9e-09,62.0,,,,,DUF1758 domain-containing protein [Nephila pilipes]
,GFS28439.1,,"Band_7,SCP2",7719.XP_002119614.1,26.0,1.6100000000000002e-33,137.0,,,,,stomatin-like protein 1 [Nephila pilipes]
,GFS28441.1,,Pkinase,126957.SMAR008084-PA,83.1,2.32e-95,290.0,,,,,stress-activated protein kinase JNK [Nephila pilipes]
,GFS28443.1,,Pkinase,126957.SMAR008084-PA,85.1,1.06e-97,295.0,,,,,stress-activated protein kinase JNK [Nephila pilipes]
,GFS28445.1,L798_06929,Pkinase,136037.KDR18179,95.9,1.07e-94,287.0,,,,,stress-activated protein kinase JNK [Nephila pilipes]
,GFS28464.1,march8,RINGv,7955.ENSDARP00000115648,78.0,1.27e-96,294.0,,,,,e3 ubiquitin-protein ligase MARCHF8 [Nephila pilipes]
NPIL_450011,GFS28465.1,,Ras,126957.SMAR000528-PA,39.8,5.18e-17,84.7,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_450011 [Nephila pilipes]
,GFS28470.1,,Transposase_1,7029.ACYPI44937-PA,36.1,2.84e-68,226.0,,,,,putative mariner transposase [Nephila pilipes]
,GFS28471.1,L798_11809,"Gelsolin,Sec23_BS,Sec23_helical,Sec23_trunk,zf-Sec23_Sec24",136037.KDR14171,53.8,5.05e-317,904.0,,,,,protein transport protein Sec24D [Nephila pilipes]
NPIL_76821,GFS28473.1,,ASC,10228.TriadP54579,47.9,1.15e-06,54.3,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_76821 [Nephila pilipes]
NPIL_76841,GFS28475.1,,"ASC,F5_F8_type_C,Kringle",7739.XP_002609579.1,24.1,2.63e-09,68.9,0.0,0.0,0.0,0.0107315776889598,uncharacterized protein NPIL_76841 [Nephila pilipes]
NPIL_76851,GFS28476.1,SCNN1A,ASC,7918.ENSLOCP00000013400,24.4,7.64e-15,84.7,0.0052617139537539,0.0406309854111262,0.070977430350978,0.0340209491523932,uncharacterized protein NPIL_76851 [Nephila pilipes]
,GFS28483.1,,"Peptidase_A17,Phosphodiest",7070.TC010221-PA,27.6,3.64e-08,59.3,,,,,integrase catalytic domain-containing protein [Nephila pilipes]
NPIL_339101,GFS28515.1,,RVT_1,7070.TC001735-PA,25.6,2.59e-16,87.8,0.033433061706718,0.0,0.0281870226788881,0.0,uncharacterized protein NPIL_339101 [Nephila pilipes]
NPIL_339111,GFS28517.1,,RVT_1,7070.TC001735-PA,25.6,2.59e-16,87.8,0.033433061706718,0.0,0.0,0.0,uncharacterized protein NPIL_339111 [Nephila pilipes]
"NPIL_639921,",GFS28523.1,,p450,8081.XP_008403244.1,61.7,1.83e-08,55.5,,,,,"hypothetical protein NPIL_639921, partial [Nephila pilipes]"
,GFS28529.1,,"Helitron_like_N,PIF1",69319.XP_008549021.1,69.4,1.8e-44,162.0,,,,,ATP-dependent DNA helicase [Nephila pilipes]
,GFS28533.1,,Transposase_1,7029.ACYPI44937-PA,35.5,2.9200000000000003e-64,216.0,,,,,putative mariner transposase [Nephila pilipes]
,GFS28553.1,,PAX,34740.HMEL002901-PA,85.9,3.28e-71,225.0,,,,,paired box pox-neuro protein [Nephila pilipes]
,GFS28562.1,T01_7323,"DUF1758,DUF1759,Peptidase_A17,rve",6334.EFV50549,34.4,5.370000000000001e-125,414.0,,,,,"integrase catalytic domain-containing protein, partial [Nephila pilipes]"
,GFS28565.1,EFV48079,DUF1758,6334.EFV48079,27.2,1.8899999999999999e-28,125.0,,,,,integrase catalytic domain-containing protein [Nephila pilipes]
,GFS28568.1,L798_02315,DUF1759,136037.KDR08154,53.8,8.65e-31,117.0,,,,,integrase catalytic domain-containing protein [Nephila pilipes]
NPIL_108341,GFS28573.1,,"Lectin_C,Sushi",6669.EFX85039,47.5,3.75e-10,61.6,0.0045688106249354,0.0907209820827946,0.23111464303861,0.0105502880487225,hypothetical protein NPIL_108341 [Nephila pilipes]
,GFS28576.1,,"DUF1758,DUF1759,Peptidase_A17,rve",7029.ACYPI062548-PA,35.9,3.4e-21,99.4,,,,,integrase catalytic domain-containing protein [Nephila pilipes]
,GFS28658.1,GM18_2088,"ACAS_N,AMP-binding,AMP-binding_C",443143.GM18_2088,34.3,4.53e-14,74.7,,,,,"acetoacetyl-CoA synthetase, partial [Nephila pilipes]"
,GFS28659.1,L798_13380,"Lig_chan,Lig_chan-Glu_bd",136037.KDR12076,22.8,1.13e-15,87.4,,,,,acetoacetyl-CoA synthetase [Nephila pilipes]
,GFS28660.1,ARB_05885,"Orn_Arg_deC_N,Orn_DAP_Arg_deC",63400.XP_003015574.1,50.0,5.91e-32,125.0,,,,,ornithine decarboxylase [Nephila pilipes]
NPIL_696021,GFS28665.1,,"RVT_1,rve",7070.TC001824-PA,34.4,0.000122,48.5,0.0,0.0,0.0,0.0,hypothetical protein NPIL_696021 [Nephila pilipes]
,GFS28685.1,,RVT_1,7029.ACYPI32232-PA,34.1,3.6400000000000004e-32,142.0,,,,,retrovirus-related Pol polyprotein from type-1 retrotransposable element R2 [Nephila pilipes]
NPIL_364371,GFS28705.1,I79_005186,"KRAB,zf-C2H2,zf-C2H2_6",10029.XP_007614421.1,38.1,0.000132,50.4,0.0,0.0,1.23341167145572,0.0,hypothetical protein NPIL_364371 [Nephila pilipes]
,GFS28706.1,,"KH_1,TUDOR",69319.XP_008547239.1,36.8,0.000295,46.2,,,,,KH_dom_type_1 domain-containing protein [Nephila pilipes]
,GFS28711.1,,"RVT_1,rve",7029.ACYPI066987-PA,40.8,2.5300000000000003e-121,396.0,,,,,retrovirus-related Pol polyprotein from transposon opus [Nephila pilipes]
,GFS28712.1,,"RVT_1,rve",7668.SPU_017531-tr,48.1,1.2e-81,276.0,,,,,retrovirus-related Pol polyprotein from transposon 297 [Nephila pilipes]
NPIL_208531,GFS28735.1,,HhH-GPD,7739.XP_002595758.1,64.7,4.81e-114,338.0,1.06461982462005,0.243749338253537,0.457251878797711,1.70697695547213,hypothetical protein NPIL_208531 [Nephila pilipes]
,GFS28737.1,,"FMO-like,PAF-AH_p_II,Tetraspannin,Thioredoxin",126957.SMAR010981-PA,44.3,8.66e-100,333.0,,,,,platelet-activating factor acetylhydrolase [Nephila pilipes]
,GFS28804.1,ZMYM5,zf-FCS,9767.XP_007164304.1,37.7,4.99e-16,82.8,,,,,zinc finger MYM-type protein 1 [Nephila pilipes]
,GFS28809.1,107362652,F5_F8_type_C,32264.tetur08g08253.1,37.5,7.15e-33,129.0,,,,,FTP domain-containing protein [Nephila pilipes]
,GFS28813.1,T01_2890,DDE_Tnp_1_7,6334.EFV57222,48.8,4.61e-44,158.0,,,,,piggyBac transposable element-derived protein 3 [Nephila pilipes]
,GFS28815.1,L798_02873,SMN,136037.KDR22148,50.8,4.9299999999999996e-61,199.0,,,,,survival of motor neuron-related-splicing factor 30 [Nephila pilipes]
,GFS28817.1,,Yippee-Mis18,7739.XP_002596802.1,85.3,1.8499999999999998e-68,208.0,,,,,protein yippee-like 5 [Nephila pilipes]
,GFS28818.1,POLR2H,RNA_pol_Rpb8,7897.ENSLACP00000017048,79.5,1.16e-63,201.0,,,,,"DNA-directed RNA polymerases I, II, and III subunit RPABC3 [Nephila pilipes]"
NPIL_643441,GFS28841.1,,"Asp_protease_2,zf-CCHC",7029.ACYPI069655-PA,31.5,7.26e-06,51.6,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_643441 [Nephila pilipes]
NPIL_448491,GFS28849.1,,rve,7425.NV18680-PA,37.1,1.6200000000000001e-37,140.0,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_448491 [Nephila pilipes]
,GFS28857.1,107368513,"PHD_2,zf-HC5HC2H_2",32264.tetur27g00750.1,26.6,1.31e-17,95.9,,,,,protein AF-10 [Nephila pilipes]
,GFS28860.1,,DDE_Tnp_1_7,132113.XP_003491268.1,34.7,0.00021,48.5,,,,,piggyBac transposable element-derived protein 4 [Nephila pilipes]
,GFS28861.1,,7tm_1,7029.ACYPI005074-PA,44.6,8.71e-68,233.0,,,,,"opsin, ultraviolet-sensitive [Nephila pilipes]"
,GFS28894.1,,DUF4817,7029.ACYPI29505-PA,36.4,1.39e-33,130.0,,,,,t-complex protein 1 subunit delta [Nephila pilipes]
,GFS28900.1,,"Laminin_B,Laminin_EGF,Laminin_N",6669.EFX77181,65.1,1.16e-93,309.0,,,,,laminin subunit gamma-1 [Nephila pilipes]
NPIL_66051,GFS28927.1,GAF37602.1,"D5_N,Pox_D5",1423743.JCM14108_2655,30.4,0.000112,47.4,0.0,0.0,0.637460359045622,0.0,uncharacterized protein NPIL_66051 [Nephila pilipes]
,GFS28947.1,RO3G_05636,rve,936053.I1BXK1,38.1,8.35e-12,68.2,,,,,retrovirus-related Pol polyprotein from transposon 412 [Nephila pilipes]
NPIL_551221,GFS28949.1,,DUF1758,7425.NV23901-PA,27.9,0.000846,45.1,0.0,0.0,0.0,0.0,hypothetical protein NPIL_551221 [Nephila pilipes]
NPIL_551231,GFS28950.1,T01_10639,"Peptidase_A17,RVT_1,rve",6334.EFV51289,30.4,1.27e-08,59.3,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_551231 [Nephila pilipes]
,GFS28955.1,,"DcpS,DcpS_C",7425.NV11166-PA,34.6,1.63e-45,165.0,,,,,m7GpppX diphosphatase [Nephila pilipes]
NPIL_551261,GFS28956.1,,"RVT_1,rve",7029.ACYPI39815-PA,40.9,7.82e-05,48.5,0.0,0.0851556469672043,0.390486188525329,0.0,hypothetical protein NPIL_551261 [Nephila pilipes]
,GFS28957.1,,Tim17,6669.EFX79091,44.6,3.86e-44,151.0,,,,,mitochondrial import inner membrane translocase subunit Tim22 [Nephila pilipes]
,GFS28959.1,,"IQ,Myosin_TH1,Myosin_head",126957.SMAR009239-PA,55.5,0.0,1098.0,,,,,unconventional myosin-Ih [Nephila pilipes]
,GFS28964.1,,LRR_8,126957.SMAR014532-PA,75.1,1.59e-47,167.0,,,,,lumican [Nephila pilipes]
,GFS28965.1,,PKD_channel,7719.XP_002119742.1,59.9,6.089999999999999e-242,698.0,,,,,polycystic kidney disease 2-like 1 protein [Nephila pilipes]
,GFS28998.1,,"Ank,Ion_trans",6669.EFX88604,52.4,2.56e-245,719.0,,,,,transient receptor potential cation channel subfamily V member 6 [Nephila pilipes]
,GFS29000.1,,Beta_elim_lyase,7739.XP_002594275.1,50.3,8.430000000000001e-123,365.0,,,,,probable low-specificity L-threonine aldolase 2 [Nephila pilipes]
NPIL_105661,GFS29001.1,thap5,THAP,8083.ENSXMAP00000009234,48.3,2.03e-16,80.5,1.0980501780001,0.547041921898629,0.343424589828182,0.75250515634627,uncharacterized protein NPIL_105661 [Nephila pilipes]
,GFS29004.1,,2OG-FeII_Oxy_3,126957.SMAR004220-PA,56.0,3.1e-102,309.0,,,,,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3 [Nephila pilipes]
,GFS29007.1,,"FYVE,Hrs_helical,VHS",126957.SMAR003447-PA,54.9,1.07e-175,521.0,,,,,hepatocyte growth factor-regulated tyrosine kinase substrate [Nephila pilipes]
,GFS29010.1,,"DDE_Tnp_1_7,Tnp_zf-ribbon_2",132113.XP_003488977.1,44.1,2.38e-20,92.4,,,,,piggyBac transposable element-derived protein 4 [Nephila pilipes]
,GFS29014.1,,RRM_1,126957.SMAR000136-PA,39.3,1.49e-13,79.0,,,,,RRM domain-containing protein [Nephila pilipes]
NPIL_105721,GFS29016.1,G5I_02944,"CoA_transf_3,PPI_Ypi1",103372.F4WBM5,73.4,4.66e-26,107.0,1.6581795928018,1.06000393828458,0.458828074739492,1.52377146283556,hypothetical protein NPIL_105721 [Nephila pilipes]
,GFS29018.1,ddx51,"DEAD,Helicase_C",8364.ENSXETP00000048369,43.5,1.8099999999999998e-126,398.0,,,,,ATP-dependent RNA helicase DDX51 [Nephila pilipes]
NPIL_105741,GFS29021.1,107367125,Claudin_2,32264.tetur01g06880.1,43.6,2.45e-51,172.0,3.04034711100105,1.58771935217582,0.919047541474584,23.1429529618663,uncharacterized protein NPIL_105741 [Nephila pilipes]
,GFS29023.1,,"Exo_endo_phos_2,PRE_C2HC,RVT_1",7425.NV10506-PA,41.0,7.15e-09,63.5,,,,,putative RNA-directed DNA polymerase from transposon X-element [Nephila pilipes]
NPIL_105761,GFS29025.1,,"F-box-like,WD40",7425.NV16171-PA,54.3,1.13e-238,685.0,0.0875230089299786,0.345972460322359,0.547273041367142,0.0808431805041375,hypothetical protein NPIL_105761 [Nephila pilipes]
,GFS29031.1,,"KLRAQ,TTKRSYEDQ",126957.SMAR014083-PA,30.7,8.08e-84,289.0,,,,,protein phosphatase 1 regulatory subunit 21 [Nephila pilipes]
,GFS29039.1,,Zip,126957.SMAR014998-PA,67.0,4.82e-120,353.0,,,,,zinc transporter ZIP9 [Nephila pilipes]
,GFS29041.1,,"Arfaptin,PDZ",126957.SMAR015039-PA,75.3,2.8700000000000003e-194,551.0,,,,,PRKCA-binding protein [Nephila pilipes]
,GFS29042.1,,"Arfaptin,PDZ",126957.SMAR015039-PA,75.3,6.65e-194,550.0,,,,,PRKCA-binding protein [Nephila pilipes]
,GFS29044.1,8235887,Sulfotransfer_2,121225.PHUM310380-PA,32.5,4.2400000000000004e-35,140.0,,,,,carbohydrate sulfotransferase 11 [Nephila pilipes]
,GFS29045.1,,"ANF_receptor,Guanylate_cyc,Pkinase_Tyr",32264.tetur14g00180.1,58.4,0.0,1271.0,,,,,guanylate cyclase 32E [Nephila pilipes]
,GFS29068.1,,KASH,126957.SMAR003016-PA,28.3,2.45e-40,171.0,,,,,KASH domain-containing protein [Nephila pilipes]
NPIL_467031,GFS29069.1,,"FXa_inhibition,Ldl_recept_a,Ldl_recept_b",10224.XP_002735411.2,53.8,0.000237,51.2,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_467031 [Nephila pilipes]
,GFS29071.1,,KASH,126957.SMAR003016-PA,26.3,6.0700000000000005e-22,106.0,,,,,KASH domain-containing protein [Nephila pilipes]
,GFS29073.1,1269979,RGS,7165.AGAP007127-PA,67.0,4.86e-66,216.0,,,,,regulator of G-protein signaling 20 [Nephila pilipes]
NPIL_502611,GFS29074.1,,KASH,126957.SMAR003016-PA,24.9,1.39e-24,118.0,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_502611 [Nephila pilipes]
,GFS29076.1,LOC661591,RGS,7070.TC014234-PA,82.2,1.4099999999999998e-68,220.0,,,,,regulator of G-protein signaling 20 [Nephila pilipes]
NPIL_502612,GFS29077.1,,KASH,126957.SMAR003016-PA,25.5,2.6799999999999998e-25,120.0,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_502612 [Nephila pilipes]
,GFS29079.1,1269979,RGS,7165.AGAP007127-PA,69.3,6e-70,226.0,,,,,regulator of G-protein signaling 20 [Nephila pilipes]
,GFS29081.1,,KASH,126957.SMAR003016-PA,54.8,4.26e-08,62.8,,,,,KASH domain-containing protein [Nephila pilipes]
,GFS29111.1,,"Herpes_Helicase,PIF1",69319.XP_008555446.1,50.0,4.62e-24,103.0,,,,,ATP-dependent DNA helicase [Nephila pilipes]
NPIL_655381,GFS29112.1,,"Neur_chan_LBD,Neur_chan_memb",7091.BGIBMGA004624-TA,26.4,2.89e-13,78.6,0.0,0.0787936286826966,0.25969356236345,0.0494813380937443,uncharacterized protein NPIL_655381 [Nephila pilipes]
NPIL_655391,GFS29113.1,,"DUF1758,DUF1759,Peptidase_A17,rve",7029.ACYPI50162-PA,46.3,0.000266,45.4,0.0,0.0,0.0,0.0,hypothetical protein NPIL_655391 [Nephila pilipes]
,GFS29119.1,HisCl1,"Neur_chan_LBD,Neur_chan_memb",7227.FBpp0081946,32.5,6.86e-34,136.0,,,,,glutamate-gated chloride channel alpha [Nephila pilipes]
NPIL_655481,GFS29129.1,,Parvo_NS1,7029.ACYPI064241-PA,34.3,2.41e-12,71.2,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_655481 [Nephila pilipes]
NPIL_655491,GFS29132.1,,"DUF1758,DUF1759,Peptidase_A17,rve",7029.ACYPI56749-PA,43.0,9.46e-09,60.8,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_655491 [Nephila pilipes]
NPIL_655521,GFS29142.1,,"RVT_1,rve,zf-CCHC_3",7029.ACYPI50455-PA,39.1,1.3200000000000001e-58,208.0,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_655521 [Nephila pilipes]
,GFS29144.1,107360375,"I-set,Ig_3,Pkinase,fn3",32264.tetur01g01850.1,60.5,1.6499999999999999e-134,429.0,,,,,twitchin [Nephila pilipes]
NPIL_655541,GFS29146.1,,"I-set,Pkinase,fn3",126957.SMAR001990-PA,73.1,1.98e-16,81.6,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_655541 [Nephila pilipes]
,GFS29148.1,,"DUF1759,Peptidase_A17,rve",7425.NV17816-PA,41.5,4.83e-17,87.8,,,,,bel12-ag transposon polyprotein [Nephila pilipes]
,GFS29150.1,,"PAW,PUB,Transglut_core",7739.XP_002605291.1,43.0,3.89e-136,412.0,,,,,peptide-N(4)-(N-acetyl-beta-glucosaminyl) asparagine amidase [Nephila pilipes]
NPIL_655581,GFS29154.1,,"CENP-B_N,DDE_1,HTH_Tnp_Tc5",8128.ENSONIP00000010132,56.7,6.27e-25,104.0,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_655581 [Nephila pilipes]
,GFS29156.1,LOC726014,F-box-like,7460.GB44800-PA,35.9,1.2e-73,247.0,,,,,f-box only protein 33 [Nephila pilipes]
,GFS29159.1,,"DUF1759,Peptidase_A17,rve",7425.NV17816-PA,36.3,2.66e-22,103.0,,,,,bel12-ag transposon polyprotein [Nephila pilipes]
,GFS29162.1,,DUF1759,7425.NV30946-PA,41.4,1.51e-49,177.0,,,,,DUF1758 domain-containing protein [Nephila pilipes]
NPIL_655641,GFS29168.1,,"DUF1758,DUF1759,Peptidase_A17",7029.ACYPI069263-PA,32.1,3.33e-37,150.0,0.0577912012255272,0.0,0.487230847678183,0.0,uncharacterized protein NPIL_655641 [Nephila pilipes]
NPIL_655651,GFS29170.1,,RVT_1,7029.ACYPI001556-PA,59.0,8.08e-06,50.8,0.0343532377169946,0.113689671092956,0.419960778261598,0.0,hypothetical protein NPIL_655651 [Nephila pilipes]
,GFS29174.1,,DUF4371,13735.ENSPSIP00000014034,50.0,6.44e-23,99.4,,,,,DUF4371 domain-containing protein [Nephila pilipes]
,GFS29180.1,,UPF0547,9713.XP_006729758.1,46.8,2.43e-15,74.3,,,,,planarian mariner-8 gene [Nephila pilipes]
,GFS29183.1,,"DUF1759,Peptidase_A17,rve",7425.NV17816-PA,41.0,8.1e-31,124.0,,,,,DUF5641 domain-containing protein [Nephila pilipes]
NPIL_655731,GFS29189.1,EFV50395,Peptidase_A17,6334.EFV50395,51.1,1.21e-08,58.5,0.274306608607677,0.0,0.578161720994867,0.760113904135414,hypothetical protein NPIL_655731 [Nephila pilipes]
NPIL_655762,GFS29195.1,,C2,6500.XP_005094540.1,56.3,1.19e-62,226.0,0.0,0.0,0.0,0.0,hypothetical protein NPIL_655762 [Nephila pilipes]
NPIL_655761,GFS29197.1,,C2,32264.tetur28g00840.1,55.2,3.8999999999999996e-61,234.0,0.0,0.0,0.0,0.0,hypothetical protein NPIL_655761 [Nephila pilipes]
NPIL_655821,GFS29211.1,,"C1_1,C2,DUF1041,Membr_traf_MHD",7070.TC004071-PA,36.2,7.98e-22,112.0,0.0,0.0526792828201976,0.362345888299617,0.176436695696749,uncharacterized protein NPIL_655821 [Nephila pilipes]
,GFS29217.1,,"C1_1,C2,DUF1041,Membr_traf_MHD",32264.tetur28g00790.1,81.8,0.0,2043.0,,,,,protein unc-13 homolog A [Nephila pilipes]
,GFS29218.1,,"C1_1,C2,DUF1041,Membr_traf_MHD",32264.tetur28g00790.1,81.0,0.0,2021.0,,,,,protein unc-13 homolog B [Nephila pilipes]
,GFS29220.1,,"C1_1,C2,DUF1041,Membr_traf_MHD",32264.tetur28g00790.1,80.4,1.42e-120,380.0,,,,,protein unc-13 homolog A [Nephila pilipes]
,GFS29221.1,,"C1_1,C2,DUF1041,Membr_traf_MHD",32264.tetur28g00790.1,80.3,0.0,1700.0,,,,,protein unc-13 homolog B [Nephila pilipes]
,GFS29228.1,,"Peptidase_A17,rve",7425.NV18673-PA,48.7,1.8199999999999997e-23,109.0,,,,,integrase catalytic domain-containing protein [Nephila pilipes]
,GFS29261.1,107362355,"AA_permease_2,AA_permease_C",32264.tetur08g07990.1,59.3,5.919999999999999e-233,674.0,,,,,cationic amino acid transporter 2 [Nephila pilipes]
NPIL_123361,GFS29262.1,,"DUF1758,DUF1759,Peptidase_A17",7029.ACYPI004602-PA,28.0,7.44e-13,73.9,0.0,0.0,0.139963147095168,0.0,hypothetical protein NPIL_123361 [Nephila pilipes]
NPIL_123381,GFS29267.1,,RVT_1,7668.SPU_011611-tr,43.9,4.49e-15,79.3,0.0,0.0,0.0,0.0,hypothetical protein NPIL_123381 [Nephila pilipes]
,GFS29270.1,,RVT_1,7029.ACYPI34816-PA,29.9,2.79e-18,91.3,,,,,reverse transcriptase domain-containing protein [Nephila pilipes]
NPIL_123401,GFS29274.1,,"P53,P53_TAD,P53_tetramer",7739.XP_002613954.1,42.0,3.72e-16,82.0,0.0,0.167704628407782,0.232307931715998,0.0,hypothetical protein NPIL_123401 [Nephila pilipes]
,GFS29276.1,,"P53,P53_tetramer,SAM_2",6500.XP_005113064.1,63.0,2.12e-11,69.3,,,,,cellular tumor antigen p53 [Nephila pilipes]
"NPIL_586181,",GFS29317.1,,ASC,7739.XP_002602022.1,27.2,3.16e-10,66.2,,,,,"uncharacterized protein NPIL_586181, partial [Nephila pilipes]"
