Gene ID,protein_id,Preferred_Name,KEGG_KO,KEGG_Pathway,KEGG_Module,KEGG_EC,KEGG_BRITE,sseqid,pident,evalue,bitscore,NPFM1,NPFM2,NPFM3,NPFM4,Protein Description,GO_Terms,eggNOG_OGs
,GFS28305.1,LOC575203,ko:K01365,"map05205,ko05418,ko05323,ko04145,map05323,ko04140,ko04142,map04612,map05418,ko04210,ko05205,map04145,map04210,map04142,ko04612,map04140",,3.4.22.15,"ko00537,ko01002,ko01000,ko00001,ko00000,ko03110",7668.SPU_014766-tr,62.6,3.64e-143,414.0,,,,,cathepsin L [Nephila pilipes],,"38I5R@33154,3BF68@33208,3CWSV@33213,COG4870@1,KOG1543@2759"
,GFS28307.1,,,,,,,7668.SPU_020838-tr,55.7,5.73e-116,343.0,,,,,cathepsin L [Nephila pilipes],,"38I5R@33154,3BF68@33208,3CWSV@33213,COG4870@1,KOG1543@2759"
,GFS28309.1,LOC575203,ko:K01365,"map05205,ko05418,ko05323,ko04145,map05323,ko04140,ko04142,map04612,map05418,ko04210,ko05205,map04145,map04210,map04142,ko04612,map04140",,3.4.22.15,"ko00537,ko01002,ko01000,ko00001,ko00000,ko03110",7668.SPU_014766-tr,59.4,1.88e-140,407.0,,,,,cathepsin L [Nephila pilipes],,"38I5R@33154,3BF68@33208,3CWSV@33213,COG4870@1,KOG1543@2759"
,GFS28311.1,,,,,,,7668.SPU_020838-tr,52.2,5.26e-59,194.0,,,,,cathepsin L1 [Nephila pilipes],,"38I5R@33154,3BF68@33208,3CWSV@33213,COG4870@1,KOG1543@2759"
,GFS28313.1,,,,,,,144197.XP_008294028.1,46.3,7.58e-29,118.0,,,,,HTH_48 domain-containing protein [Nephila pilipes],,"2CXPK@1,2RYWI@2759,3A0FF@33154,3BPTP@33208,3D6SN@33213,48FM6@7711,49CCX@7742"
,GFS28314.1,,,,,,,8153.XP_005925809.1,77.5,9.91e-37,127.0,,,,,cathepsin L [Nephila pilipes],,"38I5R@33154,3BF68@33208,3CWSV@33213,48AJS@7711,498KQ@7742,49UUN@7898,COG4870@1,KOG1543@2759"
,GFS28316.1,LOC575203,ko:K01365,"map05205,ko05418,ko05323,ko04145,map05323,ko04140,ko04142,map04612,map05418,ko04210,ko05205,map04145,map04210,map04142,ko04612,map04140",,3.4.22.15,"ko00537,ko01002,ko01000,ko00001,ko00000,ko03110",7668.SPU_014766-tr,58.2,4.13e-137,399.0,,,,,cathepsin L [Nephila pilipes],,"38I5R@33154,3BF68@33208,3CWSV@33213,COG4870@1,KOG1543@2759"
,GFS28318.1,v1g181181,ko:K01365,"map05205,ko05418,ko05323,ko04145,map05323,ko04140,ko04142,map04612,map05418,ko04210,ko05205,map04145,map04210,map04142,ko04612,map04140",,3.4.22.15,"ko00537,ko01002,ko01000,ko00001,ko00000,ko03110",45351.EDO45852,57.1,3.17e-115,344.0,,,,,cathepsin L [Nephila pilipes],,"38I5R@33154,3BF68@33208,COG4870@1,KOG1543@2759"
,GFS28320.1,ctsla,ko:K01365,"map05205,ko05418,ko05323,ko04145,map05323,ko04140,ko04142,map04612,map05418,ko04210,ko05205,map04145,map04210,map04142,ko04612,map04140",,3.4.22.15,"ko00537,ko01002,ko01000,ko00001,ko00000,ko03110",7955.ENSDARP00000106602,50.8,1.15e-111,336.0,,,,,cathepsin L [Nephila pilipes],,"38I5R@33154,3BF68@33208,3CWSV@33213,48056@7711,494DD@7742,4A011@7898,COG4870@1,KOG1543@2759"
,GFS28324.1,LOC657028,ko:K14615,"map04977,ko04977",,,"ko00001,ko00000",7070.TC015544-PA,26.8,5.77e-41,161.0,,,,,uncharacterized protein CG3556 [Nephila pilipes],,"2CMJ6@1,2QQHG@2759,39TK9@33154,3BMBC@33208,3CXHY@33213,3SIQI@50557,41VK4@6656"
,GFS28326.1,L798_06160,,,,,,136037.KDR19639,33.2,1.1799999999999998e-89,293.0,,,,,protein misato homolog 1 [Nephila pilipes],,"38CYU@33154,3BFT7@33208,3CYYK@33213,3SIMP@50557,41WY2@6656,KOG2530@1,KOG2530@2759"
NPIL_79191,GFS28328.1,UY3_07369,,,,,,8469.XP_007060189.1,31.7,1.63e-11,67.8,0.0,0.0,0.0,0.0,hypothetical protein NPIL_79191 [Nephila pilipes],,"39T7X@33154,3BMIS@33208,3D0N8@33213,487P6@7711,4907D@7742,4CK81@8459,KOG3105@1,KOG3105@2759"
,GFS28329.1,,,,,,,126957.SMAR009121-PA,43.6,1.3700000000000002e-245,732.0,,,,,bone morphogenetic protein receptor type-2 [Nephila pilipes],,"39RAD@33154,3BE0E@33208,3CY4J@33213,41V35@6656,COG0515@1,KOG3653@2759"
,GFS28331.1,,,,,,,1561998.Csp11.Scaffold71.g447.t1,35.7,6.92e-07,52.4,,,,,mariner-7 protein [Nephila pilipes],,"1M8IP@119089,2CXPK@1,2RYWI@2759,3A0FF@33154,3BPTP@33208,3D6SN@33213,40REC@6231,411ZH@6236"
,GFS28335.1,,,,,,,7091.BGIBMGA012372-TA,86.5,1.08e-220,633.0,,,,,ATP-dependent DNA helicase [Nephila pilipes],,"38G2J@33154,3BIV7@33208,3D0M2@33213,3SKNH@50557,420YJ@6656,448TM@7088,COG0507@1,KOG0987@2759"
NPIL_79231,GFS28338.1,,,,,,,6087.XP_004207304.1,38.1,2.0900000000000002e-21,96.7,0.064835422125217,0.143045572148839,0.204982443337468,0.0,uncharacterized protein NPIL_79231 [Nephila pilipes],,"2CXYR@1,2S0S7@2759,39ZC1@33154,3BU96@33208"
,GFS28342.1,FAM120B,,,,,,9612.ENSCAFP00000006093,34.4,9.82e-37,149.0,,,,,constitutive coactivator of peroxisome proliferator-activated receptor gamma [Nephila pilipes],,"28IC6@1,2QRMW@2759,38GIW@33154,3BHPU@33208,3CU0N@33213,3ESHK@33554,3JCJK@40674,47ZX9@7711,498TU@7742"
,GFS28349.1,,,,,,,7425.NV17816-PA,32.4,2.83e-41,167.0,,,,,putative RNA-directed DNA polymerase from transposon X-element [Nephila pilipes],,"2CMP4@1,2QR56@2759,39VQX@33154,3BR69@33208,3D755@33213,3T012@50557,4230R@6656,46MK3@7399"
,GFS28356.1,8238631,,,,,,121225.PHUM226220-PA,47.4,6.37e-29,112.0,,,,,"glutamate receptor ionotropic, kainate 1 [Nephila pilipes]",,"38BIY@33154,3B9S8@33208,3CTGU@33213,3E9GI@33342,3SKFN@50557,41UPI@6656,KOG1052@1,KOG1052@2759"
,GFS28359.1,G5I_00566,,,,,,103372.F4W575,60.5,3.6199999999999997e-28,112.0,,,,,histone-lysine N-methyltransferase SETMAR [Nephila pilipes],,"2DGIP@1,2S5UP@2759,3A5XI@33154,3BT0Z@33208,3D12G@33213"
"NPIL_171391,",GFS28369.1,,,,,,,7425.NV10506-PA,34.2,0.000305,46.6,,,,,"hypothetical protein NPIL_171391, partial [Nephila pilipes]",,"39X0S@33154,3BF48@33208,3D5JC@33213,3SJDR@50557,41X08@6656,46M1T@7399,KOG1075@1,KOG1075@2759"
"NPIL_153961,",GFS28392.1,,,,,,,6087.XP_004209569.1,32.5,2.01e-17,88.6,,,,,"uncharacterized protein NPIL_153961, partial [Nephila pilipes]",,"2D3DN@1,2SR6J@2759,3ANW5@33154,3C1PT@33208"
,GFS28394.1,,,,,,,7029.ACYPI56838-PA,40.3,3.64e-39,150.0,,,,,integrase catalytic domain-containing protein [Nephila pilipes],,"39TC6@33154,3BHT2@33208,3D2MB@33213,41VKT@6656,COG2801@1,KOG0017@2759"
,GFS28396.1,,,,,,,7029.ACYPI56744-PA,33.1,3.02e-10,65.1,,,,,DUF5641 domain-containing protein [Nephila pilipes],,"COG2801@1,KOG0017@2759,KOG0254@1,KOG0254@2759"
,GFS28427.1,T01_18,ko:K18585,,,,"ko04812,ko00000",6334.EFV52969,35.7,9e-09,62.0,,,,,DUF1758 domain-containing protein [Nephila pilipes],,"38FB1@33154,3BCBQ@33208,3CTT5@33213,40B0I@6231,KOG0977@1,KOG0977@2759"
,GFS28439.1,,,,,,,7719.XP_002119614.1,26.0,1.6100000000000002e-33,137.0,,,,,stomatin-like protein 1 [Nephila pilipes],,"39R9A@33154,3B973@33208,3D364@33213,484AI@7711,COG0330@1,KOG2621@2759,KOG4170@1,KOG4170@2759"
,GFS28441.1,,,,,,,126957.SMAR008084-PA,83.1,2.32e-95,290.0,,,,,stress-activated protein kinase JNK [Nephila pilipes],,"38CI3@33154,3BA0V@33208,3CVTW@33213,41WJK@6656,KOG0665@1,KOG0665@2759"
,GFS28443.1,,,,,,,126957.SMAR008084-PA,85.1,1.06e-97,295.0,,,,,stress-activated protein kinase JNK [Nephila pilipes],,"38CI3@33154,3BA0V@33208,3CVTW@33213,41WJK@6656,KOG0665@1,KOG0665@2759"
,GFS28445.1,L798_06929,ko:K04440,"map04137,ko04380,ko04068,ko04657,ko04658,ko04659,ko04140,ko04141,map04622,map04920,map04620,map04621,map04624,map04926,map04530,map05132,ko04071,map05168,ko04668,ko04664,ko05212,map05120,map05231,ko05120,map05142,map04657,map05145,map04391,map04014,map04659,map04658,map04010,map04013,map04012,map04310,map05131,map05133,map04728,map04723,map04722,ko05210,map05152,map04664,ko04912,ko04910,ko04917,ko05133,map04668,ko04914,map04068,map04910,map05418,ko05131,ko05132,ko04510,ko04210,ko04212,ko04214,ko04215,ko04217,map05167,map05164,map05160,map05161,ko05142,ko05145,map05169,map01522,map04071,ko05200,ko04024,ko04750,ko05231,map04380,map04141,map04140,map04510,ko05152,ko04137,ko04530,ko04621,ko04620,map04912,ko04622,map04914,ko04624,map04917,map05210,map04750,map04212,map04210,map04217,map04215,map04214,ko05418,ko01522,ko05167,ko04931,ko04930,ko04933,ko04932,ko04728,ko05160,map05212,map05200,map04024,ko04014,ko04012,ko04013,ko04010,ko04391,ko05161,ko04310,ko05169,ko05168,ko05164,ko04920,ko04926,ko04722,map04931,map04932,map04933,map04930,ko04723",M00688,2.7.11.24,"ko01000,ko01001,ko00001,ko00000,ko00002",136037.KDR18179,95.9,1.07e-94,287.0,,,,,stress-activated protein kinase JNK [Nephila pilipes],,"38CI3@33154,3BA0V@33208,3CVTW@33213,3SHTM@50557,41WJK@6656,KOG0665@1,KOG0665@2759"
NPIL_76721,GFS28447.1,v1g202361,,,,,,45351.EDO44911,32.9,2.06e-12,70.9,0.0,0.0,0.0605995222493096,0.132784472386036,uncharacterized protein NPIL_76721 [Nephila pilipes],,"KOG2088@1,KOG2088@2759"
,GFS28464.1,march8,ko:K10656,,,2.3.2.27,"ko01000,ko04121,ko00000",7955.ENSDARP00000115648,78.0,1.27e-96,294.0,,,,,e3 ubiquitin-protein ligase MARCHF8 [Nephila pilipes],,"38EEN@33154,3B9Y7@33208,3CWBN@33213,480VT@7711,48ZQV@7742,49TP1@7898,COG5183@1,KOG1609@2759"
NPIL_450011,GFS28465.1,,,,,,,126957.SMAR000528-PA,39.8,5.18e-17,84.7,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_450011 [Nephila pilipes],,"38C4W@33154,3B9F2@33208,3CSUU@33213,41UFN@6656,COG1100@1,KOG0395@2759"
,GFS28470.1,,,,,,,7029.ACYPI44937-PA,36.1,2.84e-68,226.0,,,,,putative mariner transposase [Nephila pilipes],,"2D0FB@1,2SE02@2759,38VJ7@33154,3CNAZ@33208,3DRPU@33213,3SQBY@50557,4228A@6656"
,GFS28471.1,L798_11809,ko:K14007,"ko04141,map04141",M00404,,"ko04131,ko00001,ko00000,ko00002",136037.KDR14171,53.8,5.05e-317,904.0,,,,,protein transport protein Sec24D [Nephila pilipes],,"38B6S@33154,3B9W2@33208,3CVV4@33213,3SJAP@50557,41TDM@6656,COG5028@1,KOG1984@2759"
NPIL_76821,GFS28473.1,,,,,,,10228.TriadP54579,47.9,1.15e-06,54.3,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_76821 [Nephila pilipes],,"39U6J@33154,3BJ8Y@33208,KOG4294@1,KOG4294@2759"
NPIL_76841,GFS28475.1,,,,,,,7739.XP_002609579.1,24.1,2.63e-09,68.9,0.0,0.0,0.0,0.0107315776889598,uncharacterized protein NPIL_76841 [Nephila pilipes],,"3A1FU@33154,3BPUF@33208,3D6DY@33213,KOG4294@1,KOG4294@2759"
NPIL_76851,GFS28476.1,SCNN1A,,,,,,7918.ENSLOCP00000013400,24.4,7.64e-15,84.7,0.0052617139537539,0.0406309854111262,0.070977430350978,0.0340209491523932,uncharacterized protein NPIL_76851 [Nephila pilipes],,"38YI2@33154,3BE9T@33208,3CUPZ@33213,4849W@7711,494KW@7742,KOG4294@1,KOG4294@2759"
,GFS28483.1,,,,,,,7070.TC010221-PA,27.6,3.64e-08,59.3,,,,,integrase catalytic domain-containing protein [Nephila pilipes],,"COG1524@1,KOG2125@2759"
NPIL_339101,GFS28515.1,,,,,,,7070.TC001735-PA,25.6,2.59e-16,87.8,0.033433061706718,0.0,0.0281870226788881,0.0,uncharacterized protein NPIL_339101 [Nephila pilipes],,"38F42@33154,3CNFK@33208,3E4K9@33213,COG2801@1,KOG0017@2759"
NPIL_339111,GFS28517.1,,,,,,,7070.TC001735-PA,25.6,2.59e-16,87.8,0.033433061706718,0.0,0.0,0.0,uncharacterized protein NPIL_339111 [Nephila pilipes],,"38F42@33154,3CNFK@33208,3E4K9@33213,COG2801@1,KOG0017@2759"
"NPIL_639921,",GFS28523.1,,,,,,,8081.XP_008403244.1,61.7,1.83e-08,55.5,,,,,"hypothetical protein NPIL_639921, partial [Nephila pilipes]",,"38BTY@33154,3BF8S@33208,3CV2F@33213,488IN@7711,490UU@7742,49ZTB@7898,COG2124@1,KOG0158@2759"
,GFS28529.1,,,,,,,69319.XP_008549021.1,69.4,1.8e-44,162.0,,,,,ATP-dependent DNA helicase [Nephila pilipes],,"38G2J@33154,3BIV7@33208,3D0M2@33213,3SKNH@50557,420YJ@6656,46JRA@7399,COG0507@1,KOG0987@2759"
,GFS28533.1,,,,,,,7029.ACYPI44937-PA,35.5,2.9200000000000003e-64,216.0,,,,,putative mariner transposase [Nephila pilipes],,"2D0FB@1,2SE02@2759,38VJ7@33154,3CNAZ@33208,3DRPU@33213,3SQBY@50557,4228A@6656"
,GFS28553.1,,,,,,,34740.HMEL002901-PA,85.9,3.28e-71,225.0,,,,,paired box pox-neuro protein [Nephila pilipes],,"3A08Q@33154,3BQ2W@33208,3D6VG@33213,3SKXV@50557,41YNY@6656,44891@7088,KOG0849@1,KOG3862@2759"
,GFS28562.1,T01_7323,,,,,,6334.EFV50549,34.4,5.370000000000001e-125,414.0,,,,,"integrase catalytic domain-containing protein, partial [Nephila pilipes]",,"2CMP4@1,2QR56@2759,39VQX@33154,3BR69@33208,3D755@33213"
,GFS28565.1,EFV48079,,,,,,6334.EFV48079,27.2,1.8899999999999999e-28,125.0,,,,,integrase catalytic domain-containing protein [Nephila pilipes],,"2EWAJ@1,2SY5F@2759,3AHSF@33154,3BYUD@33208"
,GFS28568.1,L798_02315,,,,,,136037.KDR08154,53.8,8.65e-31,117.0,,,,,integrase catalytic domain-containing protein [Nephila pilipes],,"2E7WW@1,2SEF2@2759,3AE34@33154"
NPIL_108341,GFS28573.1,,,,,,,6669.EFX85039,47.5,3.75e-10,61.6,0.0045688106249354,0.0907209820827946,0.23111464303861,0.0105502880487225,hypothetical protein NPIL_108341 [Nephila pilipes],,"38B50@33154,3BCEG@33208,3CRUF@33213,41UTC@6656,KOG4297@1,KOG4297@2759"
,GFS28576.1,,,,,,,7029.ACYPI062548-PA,35.9,3.4e-21,99.4,,,,,integrase catalytic domain-containing protein [Nephila pilipes],,"2CMP4@1,2QR56@2759,39VQX@33154,3BR69@33208,3D755@33213,3T00U@50557,4230R@6656"
,GFS28658.1,GM18_2088,ko:K01907,"ko00650,map00650,map00280,ko00280",,6.2.1.16,"ko01000,ko00001,ko00000,ko01004",443143.GM18_2088,34.3,4.53e-14,74.7,,,,,"acetoacetyl-CoA synthetase, partial [Nephila pilipes]",,"1MUX7@1224,2WJDU@28221,42P5R@68525,43SYU@69541,COG0365@1,COG0365@2"
,GFS28659.1,L798_13380,,,,,,136037.KDR12076,22.8,1.13e-15,87.4,,,,,acetoacetyl-CoA synthetase [Nephila pilipes],,"3A6WN@33154,3BSK4@33208,3DAFH@33213,3SNTB@50557,420MB@6656,KOG1052@1,KOG1052@2759"
,GFS28660.1,ARB_05885,ko:K01581,"map01100,ko00480,map00480,map01110,ko01110,ko01100,map00330,ko00330,ko01130,map01130",M00134,4.1.1.17,"ko01000,ko00001,ko00000,ko00002",63400.XP_003015574.1,50.0,5.91e-32,125.0,,,,,ornithine decarboxylase [Nephila pilipes],,"20FK3@147545,38CIN@33154,3B2GK@33183,3FWWS@34384,3NVRJ@4751,3QK4X@4890,COG0019@1,KOG0622@2759"
NPIL_696021,GFS28665.1,,,,,,,7070.TC001824-PA,34.4,0.000122,48.5,0.0,0.0,0.0,0.0,hypothetical protein NPIL_696021 [Nephila pilipes],,"38F42@33154,3BI8I@33208,3D5CW@33213,3SQKC@50557,4224Q@6656,COG2801@1,KOG0017@2759"
,GFS28685.1,,,,,,,7029.ACYPI32232-PA,34.1,3.6400000000000004e-32,142.0,,,,,retrovirus-related Pol polyprotein from type-1 retrotransposable element R2 [Nephila pilipes],,"39N4Q@33154,3BSEH@33208,3CWPW@33213,420YR@6656,KOG1075@1,KOG1075@2759"
,GFS28689.1,,,,,,,7029.ACYPI22642-PA,32.4,5.8200000000000006e-27,125.0,,,,,retrovirus-related Pol polyprotein from type-1 retrotransposable element R2 [Nephila pilipes],,"39N4Q@33154,3BSEH@33208,3DRX3@33213,4239I@6656,KOG1075@1,KOG1075@2759"
NPIL_364371,GFS28705.1,I79_005186,ko:K09228,,,,"ko03000,ko00000",10029.XP_007614421.1,38.1,0.000132,50.4,0.0,0.0,1.23341167145572,0.0,hypothetical protein NPIL_364371 [Nephila pilipes],,"35RRP@314146,3AFEN@33154,3BYFH@33208,3D2V4@33213,3JIJX@40674,48J4G@7711,49F4P@7742,4Q8KZ@9989,KOG1721@1,KOG1721@2759"
,GFS28706.1,,,,,,,69319.XP_008547239.1,36.8,0.000295,46.2,,,,,KH_dom_type_1 domain-containing protein [Nephila pilipes],,"38HSE@33154,3BHYV@33208,3CV8Q@33213,3SJ3S@50557,41TGJ@6656,46F44@7399,KOG2279@1,KOG2279@2759"
,GFS28711.1,,,,,,,7029.ACYPI066987-PA,40.8,2.5300000000000003e-121,396.0,,,,,retrovirus-related Pol polyprotein from transposon opus [Nephila pilipes],,"38F42@33154,3BA5H@33208,3CZSS@33213,3ECZ1@33342,3SQX6@50557,4225E@6656,COG2801@1,KOG0017@2759"
,GFS28712.1,,,,,,,7668.SPU_017531-tr,48.1,1.2e-81,276.0,,,,,retrovirus-related Pol polyprotein from transposon 297 [Nephila pilipes],,"38F42@33154,3BA5H@33208,3CZSS@33213,COG2801@1,KOG0017@2759"
NPIL_208531,GFS28735.1,,ko:K10773,"map03410,ko03410",,4.2.99.18,"ko03400,ko01000,ko00001,ko00000",7739.XP_002595758.1,64.7,4.81e-114,338.0,1.06461982462005,0.243749338253537,0.457251878797711,1.70697695547213,hypothetical protein NPIL_208531 [Nephila pilipes],,"38GGU@33154,3BD9R@33208,3CTXM@33213,486T5@7711,COG0177@1,KOG1921@2759"
,GFS28737.1,,,,,,,126957.SMAR010981-PA,44.3,8.66e-100,333.0,,,,,platelet-activating factor acetylhydrolase [Nephila pilipes],,"38CX4@33154,3BCXP@33208,3D0ZI@33213,41UVQ@6656,COG0526@1,COG2072@1,COG4188@1,KOG0191@2759,KOG1399@2759,KOG3847@2759,KOG3882@1,KOG3882@2759"
,GFS28804.1,ZMYM5,,,,,,9767.XP_007164304.1,37.7,4.99e-16,82.8,,,,,zinc finger MYM-type protein 1 [Nephila pilipes],,"2CZDI@1,2S9U9@2759,3AE3J@33154,3BWYR@33208,3CZIM@33213,3JDB9@40674,48AGZ@7711,497GM@7742,4IWGI@91561"
,GFS28809.1,107362652,,,,,,32264.tetur08g08253.1,37.5,7.15e-33,129.0,,,,,FTP domain-containing protein [Nephila pilipes],,"38WF6@33154,3CMCT@33208,3DAQR@33213,423ZU@6656,KOG2579@1,KOG2579@2759"
,GFS28813.1,T01_2890,,,,,,6334.EFV57222,48.8,4.61e-44,158.0,,,,,piggyBac transposable element-derived protein 3 [Nephila pilipes],,"2CNDJ@1,2QVFB@2759,39MN8@33154,3CP8H@33208,3E5D2@33213"
,GFS28815.1,L798_02873,ko:K12839,"ko03040,map03040",,,"ko00001,ko03041,ko00000",136037.KDR22148,50.8,4.9299999999999996e-61,199.0,,,,,survival of motor neuron-related-splicing factor 30 [Nephila pilipes],,"39V6S@33154,3BG03@33208,3CZAB@33213,3SM5Z@50557,41YW9@6656,KOG3026@1,KOG3026@2759"
,GFS28817.1,,,,,,,7739.XP_002596802.1,85.3,1.8499999999999998e-68,208.0,,,,,protein yippee-like 5 [Nephila pilipes],,"3A1JT@33154,3BPEE@33208,3D6HJ@33213,48E6H@7711,KOG3399@1,KOG3399@2759"
,GFS28818.1,POLR2H,ko:K03016,"map01100,ko03020,map00230,ko05016,map03020,ko01100,map05169,map00240,map04623,ko00240,map05016,ko00230,ko04623,ko05169","M00180,M00181,M00182",,"ko03021,br01611,ko00001,ko03400,ko00000,ko00002",7897.ENSLACP00000017048,79.5,1.16e-63,201.0,,,,,"DNA-directed RNA polymerases I, II, and III subunit RPABC3 [Nephila pilipes]",,"3A3E0@33154,3BPWR@33208,3CYHY@33213,487S3@7711,48UW8@7742,KOG3400@1,KOG3400@2759"
NPIL_643441,GFS28841.1,,,,,,,7029.ACYPI069655-PA,31.5,7.26e-06,51.6,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_643441 [Nephila pilipes],,"39MWN@33154,3CPG8@33208,3DKRH@33213,3EDFB@33342,3T028@50557,423JE@6656,COG2801@1,KOG0017@2759"
NPIL_448491,GFS28849.1,,,,,,,7425.NV18680-PA,37.1,1.6200000000000001e-37,140.0,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_448491 [Nephila pilipes],,"39Y5J@33154,3BM6R@33208,3D4YQ@33213,COG2801@1,KOG0017@2759"
,GFS28857.1,107368513,,,,,,32264.tetur27g00750.1,26.6,1.31e-17,95.9,,,,,protein AF-10 [Nephila pilipes],,"39G1J@33154,3BDCC@33208,3CUF6@33213,41WER@6656,COG5141@1,KOG0956@2759"
,GFS28860.1,,,,,,,132113.XP_003491268.1,34.7,0.00021,48.5,,,,,piggyBac transposable element-derived protein 4 [Nephila pilipes],,"28PUT@1,2QWHD@2759,38EA4@33154,3BMU4@33208,3CZSB@33213,3SP2M@50557,420QI@6656,46MFA@7399"
,GFS28861.1,,ko:K04255,,,,"ko04030,ko00000",7029.ACYPI005074-PA,44.6,8.71e-68,233.0,,,,,"opsin, ultraviolet-sensitive [Nephila pilipes]",,"3A021@33154,3BPP6@33208,3D69Z@33213,3E90M@33342,3SKEZ@50557,41YSW@6656,KOG3656@1,KOG3656@2759"
,GFS28863.1,,,,,,,7425.NV17023-PA,60.3,2.91e-17,89.4,,,,,protein AF-10 [Nephila pilipes],,"39G1J@33154,3BDCC@33208,3CUF6@33213,3SFMW@50557,41WER@6656,46GJ2@7399,COG5141@1,KOG0956@2759"
NPIL_236591,GFS28865.1,,,,,,,6087.XP_004207304.1,41.1,8.300000000000001e-22,98.6,0.0,0.0207822757651954,0.0158830563825455,0.0,uncharacterized protein NPIL_236591 [Nephila pilipes],,"2CXYR@1,2S0S7@2759,39ZC1@33154,3BU96@33208"
