Biological_Process,Gene ID,protein_id,Preferred_Name,KEGG_KO,KEGG_Pathway,Pfam_Domains,GO_Terms,NPFM1,NPFM2,NPFM3,NPFM4,Mean_FPKM,Protein Description
Detoxification,NPIL_479541,GFS78874.1,L798_10801,,,p450,,0.283311068938273,0.0520888024683299,0.0796187478071394,0.0872295112832207,0.12556203262424076,hypothetical protein NPIL_479541 [Nephila pilipes]
Detoxification,NPIL_115731,GFU26999.1,CYP4V2,ko:K07427,,p450,,0.0,0.0760644960560544,0.232532123665016,0.159224931812558,0.11695538788340709,uncharacterized protein NPIL_115731 [Nephila pilipes]
Detoxification,NPIL_225351,GFT28715.1,L798_13655,ko:K04565,"ko05020,ko05014,ko05016,ko04146,map05016,map05014,map04213,map04146,ko04213,map05020",Sod_Cu,,0.0,0.0535464315085959,0.368310429670804,0.0,0.10546421529484998,hypothetical protein NPIL_225351 [Nephila pilipes]
Detoxification,NPIL_326111,GFT34718.1,,,,p450,,0.179859471944649,0.238093007439868,0.0,0.0,0.10448811984612924,hypothetical protein NPIL_326111 [Nephila pilipes]
Detoxification,NPIL_500851,GFS37930.1,,,,p450,,0.0582830007308504,0.0464349338793386,0.131033907119074,0.0119632875362625,0.061928782316381374,hypothetical protein NPIL_500851 [Nephila pilipes]
Detoxification,NPIL_343951,GFS71449.1,L798_13655,ko:K04565,"ko05020,ko05014,ko05016,ko04146,map05016,map05014,map04213,map04146,ko04213,map05020",Sod_Cu,,0.0,0.0385534306861891,0.20625384061565,0.0,0.061201817825459776,hypothetical protein NPIL_343951 [Nephila pilipes]
Detoxification,NPIL_329611,GFT65640.1,,,,p450,,0.0,0.0457356163676232,0.0699077792696781,0.0,0.028910848909325326,hypothetical protein NPIL_329611 [Nephila pilipes]
Detoxification,NPIL_424011,GFT23729.1,105618528,ko:K14985,"ko00981,map00981",p450,,0.0248110731386834,0.0,0.0836717004721221,0.0,0.027120693402701377,hypothetical protein NPIL_424011 [Nephila pilipes]
Detoxification,NPIL_435211,GFS57373.1,,ko:K10721,"ko00981,map00981",p450,,0.0,0.0716902636726656,0.0,0.0,0.0179225659181664,hypothetical protein NPIL_435211 [Nephila pilipes]
Detoxification,NPIL_167051,GFT26564.1,,ko:K00512,"map01100,map04913,ko04934,ko00140,ko01100,ko04917,ko04913,ko04927,map04927,map04934,map00140,map04917",p450,,0.0,0.0,0.0,0.0,0.0,hypothetical protein NPIL_167051 [Nephila pilipes]
Detoxification,NPIL_228741,GFT55309.1,,,,"ABC_membrane,ABC_tran",,0.0,0.0,0.0,0.0,0.0,hypothetical protein NPIL_228741 [Nephila pilipes]
Detoxification,NPIL_228742,GFT55310.1,,,,"ABC_membrane,ABC_tran",,0.0,0.0,0.0,0.0,0.0,hypothetical protein NPIL_228742 [Nephila pilipes]
Detoxification,NPIL_228743,GFT55308.1,,,,"ABC_membrane,ABC_tran",,0.0,0.0,0.0,0.0,0.0,hypothetical protein NPIL_228743 [Nephila pilipes]
Detoxification,NPIL_406781,GFU14822.1,v1g162389,,,p450,,0.0,0.0,0.0,0.0,0.0,hypothetical protein NPIL_406781 [Nephila pilipes]
Detoxification,NPIL_406782,GFU14820.1,v1g162389,,,p450,,0.0,0.0,0.0,0.0,0.0,hypothetical protein NPIL_406782 [Nephila pilipes]
Detoxification,NPIL_525631,GFT69960.1,KGM_215781,ko:K00078,"ko00040,map00040,ko00980,map00980","DUF4817,GFO_IDH_MocA,GFO_IDH_MocA_C",,0.0,0.0,0.0,0.0,0.0,hypothetical protein NPIL_525631 [Nephila pilipes]
Detoxification,"NPIL_122271,",GFS48659.1,,ko:K07414,"ko00140,map04726,ko04726,map00140",p450,,,,,,,"hypothetical protein NPIL_122271, partial [Nephila pilipes]"
Detoxification,"NPIL_122761,",GFT97651.1,,,,p450,,,,,,,"hypothetical protein NPIL_122761, partial [Nephila pilipes]"
Detoxification,"NPIL_125181,",GFU00939.1,CJA09214,,,p450,,,,,,,"hypothetical protein NPIL_125181, partial [Nephila pilipes]"
Detoxification,"NPIL_137561,",GFT58670.1,,,,"GST_C,tRNA-synt_1c",,,,,,,"hypothetical protein NPIL_137561, partial [Nephila pilipes]"
Detoxification,"NPIL_158761,",GFT19355.1,,,,p450,,,,,,,"hypothetical protein NPIL_158761, partial [Nephila pilipes]"
Detoxification,"NPIL_183741,",GFS67533.1,107363314,ko:K15001,,p450,,,,,,,"hypothetical protein NPIL_183741, partial [Nephila pilipes]"
Detoxification,"NPIL_194231,",GFT40932.1,,,,p450,,,,,,,"hypothetical protein NPIL_194231, partial [Nephila pilipes]"
Detoxification,"NPIL_197191,",GFT58229.1,,,,p450,,,,,,,"hypothetical protein NPIL_197191, partial [Nephila pilipes]"
Detoxification,"NPIL_202511,",GFU06517.1,v1g190285,ko:K06158,,"ABC_tran,ABC_tran_Xtn",,,,,,,"hypothetical protein NPIL_202511, partial [Nephila pilipes]"
Detoxification,"NPIL_213261,",GFU58016.1,L798_14462,ko:K14999,,p450,,,,,,,"hypothetical protein NPIL_213261, partial [Nephila pilipes]"
Detoxification,"NPIL_230871,",GFT60138.1,,,,p450,,,,,,,"hypothetical protein NPIL_230871, partial [Nephila pilipes]"
Detoxification,"NPIL_26271,",GFU00072.1,,,,p450,,,,,,,"hypothetical protein NPIL_26271, partial [Nephila pilipes]"
Detoxification,"NPIL_281381,",GFT36719.1,Cyp2ac1,ko:K17854,,p450,,,,,,,"hypothetical protein NPIL_281381, partial [Nephila pilipes]"
Detoxification,"NPIL_282951,",GFS50175.1,,,,p450,,,,,,,"hypothetical protein NPIL_282951, partial [Nephila pilipes]"
Detoxification,"NPIL_283451,",GFT07331.1,,ko:K00799,"map05418,ko00480,map00480,map05204,ko00980,map00982,ko00982,map00980,ko00983,ko01524,map05225,ko05225,map05200,ko05204,map00983,ko05200,map01524,ko05418","GST_C_3,GST_N",,,,,,,"hypothetical protein NPIL_283451, partial [Nephila pilipes]"
Detoxification,"NPIL_286511,",GFS46261.1,,,,p450,,,,,,,"hypothetical protein NPIL_286511, partial [Nephila pilipes]"
Detoxification,"NPIL_287411,",GFT27009.1,,ko:K07418,"map01100,ko01100,map04750,map00590,map00591,ko00591,ko00590,ko04750,ko04913,map04726,map04212,ko04212,map04913,ko04726",p450,,,,,,,"hypothetical protein NPIL_287411, partial [Nephila pilipes]"
Detoxification,"NPIL_295811,",GFT56292.1,,,,p450,,,,,,,"hypothetical protein NPIL_295811, partial [Nephila pilipes]"
Detoxification,"NPIL_297631,",GFS99245.1,,,,p450,,,,,,,"hypothetical protein NPIL_297631, partial [Nephila pilipes]"
Detoxification,"NPIL_315501,",GFT88969.1,TBXAS1,ko:K01832,"map01100,ko01100,map00590,ko00590,ko04611,map04611",p450,,,,,,,"hypothetical protein NPIL_315501, partial [Nephila pilipes]"
Detoxification,"NPIL_319981,",GFS85428.1,,,,p450,,,,,,,"hypothetical protein NPIL_319981, partial [Nephila pilipes]"
Detoxification,"NPIL_330161,",GFT01476.1,,ko:K07424,"map01100,map05204,ko00140,map00591,ko00591,ko01100,ko00830,map00830,ko05204,map00140",p450,,,,,,,"hypothetical protein NPIL_330161, partial [Nephila pilipes]"
Detoxification,"NPIL_33631,",GFT68457.1,107363314,ko:K15001,,p450,,,,,,,"hypothetical protein NPIL_33631, partial [Nephila pilipes]"
Detoxification,"NPIL_367871,",GFU35192.1,ABCF3,ko:K06158,,"ABC_tran,ABC_tran_Xtn",,,,,,,"hypothetical protein NPIL_367871, partial [Nephila pilipes]"
Detoxification,"NPIL_380401,",GFS64938.1,CYP2U1,,,p450,,,,,,,"hypothetical protein NPIL_380401, partial [Nephila pilipes]"
Detoxification,"NPIL_384261,",GFU09622.1,CYP4V2,ko:K07427,,p450,,,,,,,"hypothetical protein NPIL_384261, partial [Nephila pilipes]"
Detoxification,"NPIL_385001,",GFT75333.1,,,,p450,,,,,,,"hypothetical protein NPIL_385001, partial [Nephila pilipes]"
Detoxification,"NPIL_401901,",GFU05394.1,KGM_213007,ko:K14985,"ko00981,map00981",p450,,,,,,,"hypothetical protein NPIL_401901, partial [Nephila pilipes]"
Detoxification,"NPIL_4021,",GFS60787.1,,,,p450,,,,,,,"hypothetical protein NPIL_4021, partial [Nephila pilipes]"
Detoxification,"NPIL_411851,",GFU35053.1,LOC658979,ko:K14999,,p450,,,,,,,"hypothetical protein NPIL_411851, partial [Nephila pilipes]"
Detoxification,"NPIL_424001,",GFT23727.1,,,,p450,,,,,,,"hypothetical protein NPIL_424001, partial [Nephila pilipes]"
Detoxification,"NPIL_433071,",GFU28452.1,,,,p450,,,,,,,"hypothetical protein NPIL_433071, partial [Nephila pilipes]"
Detoxification,"NPIL_44771,",GFT59182.1,,,,p450,,,,,,,"hypothetical protein NPIL_44771, partial [Nephila pilipes]"
Detoxification,"NPIL_458031,",GFT62268.1,,,,p450,,,,,,,"hypothetical protein NPIL_458031, partial [Nephila pilipes]"
Detoxification,"NPIL_468371,",GFT83675.1,,ko:K07418,"map01100,ko01100,map04750,map00590,map00591,ko00591,ko00590,ko04750,ko04913,map04726,map04212,ko04212,map04913,ko04726",p450,,,,,,,"hypothetical protein NPIL_468371, partial [Nephila pilipes]"
Detoxification,"NPIL_468551,",GFT63955.1,,,,p450,,,,,,,"hypothetical protein NPIL_468551, partial [Nephila pilipes]"
Detoxification,"NPIL_483071,",GFS54608.1,,ko:K07427,,p450,,,,,,,"hypothetical protein NPIL_483071, partial [Nephila pilipes]"
Detoxification,"NPIL_483091,",GFS58124.1,,,,"GST_C,tRNA-synt_1c",,,,,,,"hypothetical protein NPIL_483091, partial [Nephila pilipes]"
Detoxification,"NPIL_502961,",GFU37769.1,CGB_D3700C,ko:K04565,"ko05020,ko05014,ko05016,ko04146,map05016,map05014,map04213,map04146,ko04213,map05020",Sod_Cu,,,,,,,"hypothetical protein NPIL_502961, partial [Nephila pilipes]"
Detoxification,"NPIL_50931,",GFT61194.1,,,,p450,,,,,,,"hypothetical protein NPIL_50931, partial [Nephila pilipes]"
Detoxification,"NPIL_513031,",GFS34040.1,107372143,ko:K07418,"map01100,ko01100,map04750,map00590,map00591,ko00591,ko00590,ko04750,ko04913,map04726,map04212,ko04212,map04913,ko04726",p450,,,,,,,"hypothetical protein NPIL_513031, partial [Nephila pilipes]"
Detoxification,"NPIL_558191,",GFT54195.1,,,,p450,,,,,,,"hypothetical protein NPIL_558191, partial [Nephila pilipes]"
Detoxification,"NPIL_568381,",GFS91912.1,v1g190285,ko:K06158,,"ABC_tran,ABC_tran_Xtn",,,,,,,"hypothetical protein NPIL_568381, partial [Nephila pilipes]"
Detoxification,"NPIL_572361,",GFT81821.1,,,,p450,,,,,,,"hypothetical protein NPIL_572361, partial [Nephila pilipes]"
Detoxification,"NPIL_573131,",GFS69564.1,cyp2v1,,,p450,,,,,,,"hypothetical protein NPIL_573131, partial [Nephila pilipes]"
Detoxification,"NPIL_582531,",GFS50985.1,,,,p450,,,,,,,"hypothetical protein NPIL_582531, partial [Nephila pilipes]"
Detoxification,"NPIL_598121,",GFS86032.1,sod1,,,Sod_Cu,,,,,,,"hypothetical protein NPIL_598121, partial [Nephila pilipes]"
Detoxification,"NPIL_600801,",GFT06487.1,,,,p450,,,,,,,"hypothetical protein NPIL_600801, partial [Nephila pilipes]"
Detoxification,"NPIL_614681,",GFS30030.1,,,,p450,,,,,,,"hypothetical protein NPIL_614681, partial [Nephila pilipes]"
Detoxification,"NPIL_620951,",GFS82831.1,KGM_215781,ko:K00078,"ko00040,map00040,ko00980,map00980","DUF4817,GFO_IDH_MocA,GFO_IDH_MocA_C",,,,,,,"uncharacterized protein NPIL_620951, partial [Nephila pilipes]"
Detoxification,"NPIL_625161,",GFT63646.1,,,,p450,,,,,,,"hypothetical protein NPIL_625161, partial [Nephila pilipes]"
Detoxification,"NPIL_630481,",GFS62601.1,,,,p450,,,,,,,"hypothetical protein NPIL_630481, partial [Nephila pilipes]"
Detoxification,"NPIL_633841,",GFS47136.1,,,,p450,,,,,,,"hypothetical protein NPIL_633841, partial [Nephila pilipes]"
Detoxification,"NPIL_634211,",GFU04367.1,,ko:K04569,"ko05014,map05014",Sod_Cu,,,,,,,"hypothetical protein NPIL_634211, partial [Nephila pilipes]"
Detoxification,"NPIL_639921,",GFS28523.1,,,,p450,,,,,,,"hypothetical protein NPIL_639921, partial [Nephila pilipes]"
Detoxification,"NPIL_641741,",GFT98770.1,,ko:K07424,"map01100,map05204,ko00140,map00591,ko00591,ko01100,ko00830,map00830,ko05204,map00140",p450,,,,,,,"hypothetical protein NPIL_641741, partial [Nephila pilipes]"
Detoxification,"NPIL_646081,",GFT21244.1,,,,"ABC_membrane,ABC_tran",,,,,,,"hypothetical protein NPIL_646081, partial [Nephila pilipes]"
Detoxification,"NPIL_647361,",GFT82482.1,,,,ABC_tran,,,,,,,"hypothetical protein NPIL_647361, partial [Nephila pilipes]"
Detoxification,"NPIL_658801,",GFT48351.1,,,,p450,,,,,,,"hypothetical protein NPIL_658801, partial [Nephila pilipes]"
Detoxification,"NPIL_688161,",GFT21298.1,G5I_06543,ko:K07427,,p450,,,,,,,"hypothetical protein NPIL_688161, partial [Nephila pilipes]"
Detoxification,"NPIL_703071,",GFS37044.1,v1g190285,ko:K06158,,"ABC_tran,ABC_tran_Xtn",,,,,,,"hypothetical protein NPIL_703071, partial [Nephila pilipes]"
Detoxification,"NPIL_95471,",GFS68054.1,,,,p450,,,,,,,"hypothetical protein NPIL_95471, partial [Nephila pilipes]"
Detoxification,,GFS28179.1,v1g96024,ko:K01581,"map01100,ko00480,map00480,map01110,ko01110,ko01100,map00330,ko00330,ko01130,map01130","Orn_Arg_deC_N,Orn_DAP_Arg_deC",,,,,,,ornithine decarboxylase 1 [Nephila pilipes]
Detoxification,,GFS28303.1,,ko:K14994,,Aa_trans,,,,,,,putative sodium-coupled neutral amino acid transporter 7 [Nephila pilipes]
Detoxification,,GFS28660.1,ARB_05885,ko:K01581,"map01100,ko00480,map00480,map01110,ko01110,ko01100,map00330,ko00330,ko01130,map01130","Orn_Arg_deC_N,Orn_DAP_Arg_deC",,,,,,,ornithine decarboxylase [Nephila pilipes]
Detoxification,,GFS29898.1,CYP6N6,ko:K14999,,p450,,,,,,,"cytochrome P450 9e2, partial [Nephila pilipes]"
Detoxification,,GFS30130.1,20217691,,,p450,,,,,,,cytochrome P450 3A24 [Nephila pilipes]
Detoxification,,GFS30372.1,,,,p450,,,,,,,cytochrome P450 2D9 [Nephila pilipes]
Detoxification,,GFS30763.1,LOC575452,,,p450,,,,,,,cytochrome P450 2U1 [Nephila pilipes]
Detoxification,,GFS31020.1,odc1,ko:K01581,"map01100,ko00480,map00480,map01110,ko01110,ko01100,map00330,ko00330,ko01130,map01130","Orn_Arg_deC_N,Orn_DAP_Arg_deC",,,,,,,"orn_DAP_Arg_deC domain-containing protein, partial [Nephila pilipes]"
Detoxification,,GFS31929.1,,,,p450,,,,,,,cytochrome P450 4V2 [Nephila pilipes]
Detoxification,,GFS32396.1,,,,p450,,,,,,,cytochrome P450 4V2 [Nephila pilipes]
Detoxification,,GFS33674.1,,,,"AA_permease,AA_permease_N,SLC12",,,,,,,bumetanide-sensitive sodium-(potassium)-chloride cotransporter [Nephila pilipes]
Detoxification,,GFS34470.1,CYP4V2,ko:K07427,,p450,,,,,,,"cytochrome P450 4V2, partial [Nephila pilipes]"
Detoxification,,GFS34794.1,107363702,ko:K01581,"map01100,ko00480,map00480,map01110,ko01110,ko01100,map00330,ko00330,ko01130,map01130","Orn_Arg_deC_N,Orn_DAP_Arg_deC",,,,,,,antizyme inhibitor 2 [Nephila pilipes]
Detoxification,,GFS34952.1,ALDH5A1,ko:K00139,"map01100,ko00650,map01120,map00650,ko01100,ko00250,map00250,ko01120",Aldedh,,,,,,,"succinate-semialdehyde dehydrogenase, mitochondrial [Nephila pilipes]"
Detoxification,,GFS35532.1,,,,p450,,,,,,,"cytochrome P450 3A13, partial [Nephila pilipes]"
Detoxification,,GFS35592.1,L798_02565,ko:K00289,"map00670,ko00670","Aldedh,Formyl_trans_C,Formyl_trans_N,PP-binding",,,,,,,mitochondrial 10-formyltetrahydrofolate dehydrogenase [Nephila pilipes]
Detoxification,,GFS35594.1,L798_02565,ko:K00289,"map00670,ko00670","Aldedh,Formyl_trans_C,Formyl_trans_N,PP-binding",,,,,,,mitochondrial 10-formyltetrahydrofolate dehydrogenase [Nephila pilipes]
Detoxification,,GFS35720.1,ALDH2,,,Aldedh,,,,,,,"aldehyde dehydrogenase, mitochondrial [Nephila pilipes]"
Detoxification,,GFS37675.1,8231793,ko:K03781,"map01110,map04016,map04011,ko01130,map04213,map04212,map04211,ko04068,map00630,ko01110,ko04146,map05014,map04146,ko01200,map01200,ko05014,ko04016,ko00630,map01130,ko04011,map00380,map04068,ko04211,ko04212,ko04213,ko00380","Catalase,Catalase-rel",,,,,,,catalase [Nephila pilipes]
Detoxification,,GFS37677.1,,,,"Catalase,Catalase-rel",,,,,,,catalase [Nephila pilipes]
Detoxification,,GFS39272.1,107359285,ko:K07418,"map01100,ko01100,map04750,map00590,map00591,ko00591,ko00590,ko04750,ko04913,map04726,map04212,ko04212,map04913,ko04726",p450,,,,,,,"cytochrome P450 2A9, partial [Nephila pilipes]"
Detoxification,,GFS39615.1,Gstm1,ko:K00799,"map05418,ko00480,map00480,map05204,ko00980,map00982,ko00982,map00980,ko00983,ko01524,map05225,ko05225,map05200,ko05204,map00983,ko05200,map01524,ko05418","GST_C_3,GST_N","P|GO:0006518|ISO,P|GO:0006575|ISO,P|GO:0006749|ISO,P|GO:0006790|ISO,P|GO:0006805|ISO,P|GO:0006807|ISO,P|GO:0008150|IDA,P|GO:0008150|ISO,P|GO:0008152|ISO,P|GO:0009056|ISO,P|GO:0009410|ISO,P|GO:0009987|IDA,P|GO:0009987|ISO,P|GO:0034641|ISO,P|GO:0035690|IDA,P|GO:0042178|ISO,P|GO:0042221|IDA,P|GO:0042221|ISO,P|GO:0042493|IDA,P|GO:0043603|ISO,P|GO:0044237|ISO,P|GO:0044248|ISO,P|GO:0050896|IDA,P|GO:0050896|ISO,P|GO:0051186|ISO,P|GO:0051716|IDA,P|GO:0051716|ISO,P|GO:0070887|IDA,P|GO:0070887|ISO,P|GO:0071466|ISO,P|GO:0071704|ISO,P|GO:1901564|ISO,C|GO:0005575|ISO,C|GO:0005575|CURATED,C|GO:0005575|IDA,C|GO:0005576|ISO,C|GO:0005576|ISO,C|GO:0005622|ISO,C|GO:0005622|CURATED,C|GO:0005623|ISO,C|GO:0005623|CURATED,C|GO:0005623|IDA,C|GO:0005737|ISO,C|GO:0005737|CURATED,C|GO:0005829|ISO,C|GO:0032991|ISO,C|GO:0043209|IDA,C|GO:0044421|ISO,C|GO:0044424|ISO,C|GO:0044424|CURATED,C|GO:0044444|ISO,C|GO:0044464|ISO,C|GO:0044464|CURATED,C|GO:0044464|IDA,C|GO:0045171|ISO,F|GO:0003674|IDA,F|GO:0003674|ISO,F|GO:0003824|ISO,F|GO:0004364|ISO,F|GO:0005488|IDA,F|GO:0005488|ISO,F|GO:0005496|ISO,F|GO:0005515|IDA,F|GO:0005515|ISO,F|GO:0008289|ISO,F|GO:0016151|ISO,F|GO:0016740|ISO,F|GO:0016765|ISO,F|GO:0019899|ISO,F|GO:0019900|ISO,F|GO:0019901|ISO,F|GO:0033218|ISO,F|GO:0042277|ISO,F|GO:0042802|IDA,F|GO:0042802|ISO,F|GO:0042803|IDA,F|GO:0043167|ISO,F|GO:0043168|ISO,F|GO:0043169|ISO,F|GO:0043295|ISO,F|GO:0046872|ISO,F|GO:0046914|ISO,F|GO:0046982|IDA,F|GO:0046983|IDA,F|GO:0048037|ISO,F|GO:0072341|ISO,F|GO:0097159|ISO,F|GO:1900750|ISO,F|GO:1901681|ISO",,,,,,glutathione S-transferase Mu 1 [Nephila pilipes]
Detoxification,,GFS39617.1,107359165,ko:K00799,"map05418,ko00480,map00480,map05204,ko00980,map00982,ko00982,map00980,ko00983,ko01524,map05225,ko05225,map05200,ko05204,map00983,ko05200,map01524,ko05418","GST_C_3,GST_N",,,,,,,glutathione S-transferase Mu 1 [Nephila pilipes]
Detoxification,,GFS39619.1,107359165,ko:K00799,"map05418,ko00480,map00480,map05204,ko00980,map00982,ko00982,map00980,ko00983,ko01524,map05225,ko05225,map05200,ko05204,map00983,ko05200,map01524,ko05418","GST_C_3,GST_N",,,,,,,glutathione S-transferase Mu 1 [Nephila pilipes]
Detoxification,,GFS39621.1,Gstm1,ko:K00799,"map05418,ko00480,map00480,map05204,ko00980,map00982,ko00982,map00980,ko00983,ko01524,map05225,ko05225,map05200,ko05204,map00983,ko05200,map01524,ko05418","GST_C_3,GST_N","P|GO:0006518|ISO,P|GO:0006575|ISO,P|GO:0006749|ISO,P|GO:0006790|ISO,P|GO:0006805|ISO,P|GO:0006807|ISO,P|GO:0008150|IDA,P|GO:0008150|ISO,P|GO:0008152|ISO,P|GO:0009056|ISO,P|GO:0009410|ISO,P|GO:0009987|IDA,P|GO:0009987|ISO,P|GO:0034641|ISO,P|GO:0035690|IDA,P|GO:0042178|ISO,P|GO:0042221|IDA,P|GO:0042221|ISO,P|GO:0042493|IDA,P|GO:0043603|ISO,P|GO:0044237|ISO,P|GO:0044248|ISO,P|GO:0050896|IDA,P|GO:0050896|ISO,P|GO:0051186|ISO,P|GO:0051716|IDA,P|GO:0051716|ISO,P|GO:0070887|IDA,P|GO:0070887|ISO,P|GO:0071466|ISO,P|GO:0071704|ISO,P|GO:1901564|ISO,C|GO:0005575|ISO,C|GO:0005575|CURATED,C|GO:0005575|IDA,C|GO:0005576|ISO,C|GO:0005576|ISO,C|GO:0005622|ISO,C|GO:0005622|CURATED,C|GO:0005623|ISO,C|GO:0005623|CURATED,C|GO:0005623|IDA,C|GO:0005737|ISO,C|GO:0005737|CURATED,C|GO:0005829|ISO,C|GO:0032991|ISO,C|GO:0043209|IDA,C|GO:0044421|ISO,C|GO:0044424|ISO,C|GO:0044424|CURATED,C|GO:0044444|ISO,C|GO:0044464|ISO,C|GO:0044464|CURATED,C|GO:0044464|IDA,C|GO:0045171|ISO,F|GO:0003674|IDA,F|GO:0003674|ISO,F|GO:0003824|ISO,F|GO:0004364|ISO,F|GO:0005488|IDA,F|GO:0005488|ISO,F|GO:0005496|ISO,F|GO:0005515|IDA,F|GO:0005515|ISO,F|GO:0008289|ISO,F|GO:0016151|ISO,F|GO:0016740|ISO,F|GO:0016765|ISO,F|GO:0019899|ISO,F|GO:0019900|ISO,F|GO:0019901|ISO,F|GO:0033218|ISO,F|GO:0042277|ISO,F|GO:0042802|IDA,F|GO:0042802|ISO,F|GO:0042803|IDA,F|GO:0043167|ISO,F|GO:0043168|ISO,F|GO:0043169|ISO,F|GO:0043295|ISO,F|GO:0046872|ISO,F|GO:0046914|ISO,F|GO:0046982|IDA,F|GO:0046983|IDA,F|GO:0048037|ISO,F|GO:0072341|ISO,F|GO:0097159|ISO,F|GO:1900750|ISO,F|GO:1901681|ISO",,,,,,glutathione S-transferase Mu 1 [Nephila pilipes]
Detoxification,,GFS39622.1,,,,"GST_C_3,GST_N",,,,,,,glutathione S-transferase Mu 1 [Nephila pilipes]
Detoxification,,GFS39625.1,107359165,ko:K00799,"map05418,ko00480,map00480,map05204,ko00980,map00982,ko00982,map00980,ko00983,ko01524,map05225,ko05225,map05200,ko05204,map00983,ko05200,map01524,ko05418","GST_C_3,GST_N",,,,,,,glutathione S-transferase Mu 1 [Nephila pilipes]
Detoxification,,GFS39628.1,,,,"GST_C_3,GST_N",,,,,,,glutathione S-transferase class-mu 26 kDa isozyme 47 [Nephila pilipes]
Detoxification,,GFS40541.1,,ko:K15001,,p450,,,,,,,cytochrome P450 4V2 [Nephila pilipes]
Detoxification,,GFS42227.1,,,,p450,,,,,,,cytochrome P450 3A24 [Nephila pilipes]
Detoxification,,GFS43692.1,,,,ASC,,,,,,,amiloride-sensitive sodium channel subunit beta [Nephila pilipes]
Detoxification,,GFS43698.1,,,,ASC,,,,,,,amiloride-sensitive sodium channel subunit beta [Nephila pilipes]
Detoxification,,GFS43701.1,,,,ASC,,,,,,,FMRFamide-activated amiloride-sensitive sodium channel [Nephila pilipes]
Detoxification,,GFS44631.1,KGM_215781,ko:K00078,"ko00040,map00040,ko00980,map00980","DUF4817,GFO_IDH_MocA,GFO_IDH_MocA_C",,,,,,,52 kDa repressor of the inhibitor of the protein kinase [Nephila pilipes]
Detoxification,,GFS44709.1,,,,p450,,,,,,,"cytochrome P450 3A21, partial [Nephila pilipes]"
Detoxification,,GFS44878.1,107365376,ko:K15001,,p450,,,,,,,"cytochrome P450 4V2, partial [Nephila pilipes]"
Detoxification,,GFS44882.1,L798_14796,ko:K15001,,p450,,,,,,,cytochrome P450 4C1 [Nephila pilipes]
